Created as New Dataset,Sample 035 By irlear Date Monday, April 27 2009
cm-1,%T
4000.00,103.04
3999.75,103.04
3999.50,103.04
3999.25,103.03
3999.00,103.02
3998.75,103.01
3998.50,103.00
3998.25,102.99
3998.00,102.99
3997.75,102.99
3997.50,103.00
3997.25,103.00
3997.00,103.01
3996.75,103.01
3996.50,103.01
3996.25,103.01
3996.00,103.01
3995.75,103.01
3995.50,103.01
3995.25,103.02
3995.00,103.01
3994.75,103.01
3994.50,103.00
3994.25,103.00
3994.00,103.00
3993.75,103.01
3993.50,103.02
3993.25,103.02
3993.00,103.02
3992.75,103.01
3992.50,103.01
3992.25,103.02
3992.00,103.02
3991.75,103.02
3991.50,103.01
3991.25,103.01
3991.00,103.00
3990.75,103.00
3990.50,103.00
3990.25,103.01
3990.00,103.01
3989.75,103.01
3989.50,103.01
3989.25,103.01
3989.00,103.01
3988.75,103.01
3988.50,103.02
3988.25,103.02
3988.00,103.02
3987.75,103.02
3987.50,103.02
3987.25,103.02
3987.00,103.02
3986.75,103.02
3986.50,103.02
3986.25,103.03
3986.00,103.04
3985.75,103.04
3985.50,103.04
3985.25,103.03
3985.00,103.03
3984.75,103.03
3984.50,103.03
3984.25,103.03
3984.00,103.02
3983.75,103.03
3983.50,103.03
3983.25,103.04
3983.00,103.04
3982.75,103.03
3982.50,103.02
3982.25,103.01
3982.00,103.01
3981.75,103.02
3981.50,103.02
3981.25,103.02
3981.00,103.02
3980.75,103.02
3980.50,103.02
3980.25,103.02
3980.00,103.03
3979.75,103.03
3979.50,103.04
3979.25,103.04
3979.00,103.03
3978.75,103.03
3978.50,103.03
3978.25,103.03
3978.00,103.03
3977.75,103.03
3977.50,103.04
3977.25,103.04
3977.00,103.03
3976.75,103.02
3976.50,103.00
3976.25,103.00
3976.00,103.01
3975.75,103.03
3975.50,103.04
3975.25,103.04
3975.00,103.04
3974.75,103.04
3974.50,103.03
3974.25,103.02
3974.00,103.01
3973.75,103.02
3973.50,103.03
3973.25,103.04
3973.00,103.05
3972.75,103.05
3972.50,103.05
3972.25,103.04
3972.00,103.04
3971.75,103.04
3971.50,103.04
3971.25,103.04
3971.00,103.03
3970.75,103.02
3970.50,103.02
3970.25,103.03
3970.00,103.03
3969.75,103.04
3969.50,103.03
3969.25,103.02
3969.00,103.02
3968.75,103.01
3968.50,103.01
3968.25,103.01
3968.00,103.02
3967.75,103.02
3967.50,103.03
3967.25,103.03
3967.00,103.03
3966.75,103.04
3966.50,103.04
3966.25,103.04
3966.00,103.04
3965.75,103.04
3965.50,103.04
3965.25,103.04
3965.00,103.04
3964.75,103.04
3964.50,103.04
3964.25,103.04
3964.00,103.04
3963.75,103.04
3963.50,103.04
3963.25,103.04
3963.00,103.03
3962.75,103.02
3962.50,103.02
3962.25,103.02
3962.00,103.02
3961.75,103.02
3961.50,103.02
3961.25,103.02
3961.00,103.03
3960.75,103.04
3960.50,103.05
3960.25,103.05
3960.00,103.05
3959.75,103.04
3959.50,103.04
3959.25,103.04
3959.00,103.04
3958.75,103.03
3958.50,103.03
3958.25,103.03
3958.00,103.03
3957.75,103.03
3957.50,103.02
3957.25,103.02
3957.00,103.03
3956.75,103.04
3956.50,103.04
3956.25,103.04
3956.00,103.03
3955.75,103.02
3955.50,103.01
3955.25,103.02
3955.00,103.03
3954.75,103.04
3954.50,103.04
3954.25,103.04
3954.00,103.04
3953.75,103.03
3953.50,103.03
3953.25,103.04
3953.00,103.04
3952.75,103.03
3952.50,103.02
3952.25,103.01
3952.00,103.01
3951.75,103.01
3951.50,103.02
3951.25,103.02
3951.00,103.02
3950.75,103.02
3950.50,103.02
3950.25,103.02
3950.00,103.02
3949.75,103.03
3949.50,103.03
3949.25,103.03
3949.00,103.02
3948.75,103.02
3948.50,103.02
3948.25,103.02
3948.00,103.03
3947.75,103.04
3947.50,103.05
3947.25,103.05
3947.00,103.06
3946.75,103.05
3946.50,103.04
3946.25,103.03
3946.00,103.02
3945.75,103.02
3945.50,103.03
3945.25,103.03
3945.00,103.03
3944.75,103.02
3944.50,103.01
3944.25,103.01
3944.00,103.01
3943.75,103.01
3943.50,103.00
3943.25,103.00
3943.00,103.00
3942.75,103.01
3942.50,103.03
3942.25,103.05
3942.00,103.06
