Created as New Dataset,Sample 156 By irlear Date Wednesday, June 05 2019
cm-1,%T
4000.00,79.34
3999.50,79.36
3999.00,79.38
3998.50,79.41
3998.00,79.43
3997.50,79.45
3997.00,79.47
3996.50,79.49
3996.00,79.51
3995.50,79.54
3995.00,79.57
3994.50,79.59
3994.00,79.61
3993.50,79.63
3993.00,79.65
3992.50,79.67
3992.00,79.69
3991.50,79.72
3991.00,79.75
3990.50,79.77
3990.00,79.79
3989.50,79.81
3989.00,79.83
3988.50,79.85
3988.00,79.87
3987.50,79.89
3987.00,79.92
3986.50,79.95
3986.00,79.98
3985.50,80.01
3985.00,80.03
3984.50,80.05
3984.00,80.07
3983.50,80.08
3983.00,80.10
3982.50,80.12
3982.00,80.13
3981.50,80.15
3981.00,80.17
3980.50,80.19
3980.00,80.22
3979.50,80.24
3979.00,80.26
3978.50,80.29
3978.00,80.31
3977.50,80.34
3977.00,80.36
3976.50,80.38
3976.00,80.40
3975.50,80.41
3975.00,80.43
3974.50,80.44
3974.00,80.46
3973.50,80.48
3973.00,80.51
3972.50,80.53
3972.00,80.55
3971.50,80.57
3971.00,80.58
3970.50,80.60
3970.00,80.63
3969.50,80.65
3969.00,80.67
3968.50,80.69
3968.00,80.71
3967.50,80.72
3967.00,80.74
3966.50,80.76
3966.00,80.78
3965.50,80.80
3965.00,80.82
3964.50,80.84
3964.00,80.86
3963.50,80.87
3963.00,80.90
3962.50,80.92
3962.00,80.95
3961.50,80.96
3961.00,80.97
3960.50,80.98
3960.00,80.99
3959.50,81.01
3959.00,81.02
3958.50,81.03
3958.00,81.05
3957.50,81.06
3957.00,81.08
3956.50,81.09
3956.00,81.10
3955.50,81.10
3955.00,81.11
3954.50,81.12
3954.00,81.13
3953.50,81.14
3953.00,81.15
3952.50,81.15
3952.00,81.15
3951.50,81.16
3951.00,81.18
3950.50,81.20
3950.00,81.21
3949.50,81.22
3949.00,81.23
3948.50,81.24
3948.00,81.26
3947.50,81.27
3947.00,81.27
3946.50,81.27
3946.00,81.27
3945.50,81.27
3945.00,81.27
3944.50,81.27
3944.00,81.28
3943.50,81.30
3943.00,81.33
3942.50,81.35
3942.00,81.35
3941.50,81.36
3941.00,81.36
3940.50,81.37
3940.00,81.38
3939.50,81.39
3939.00,81.41
3938.50,81.42
3938.00,81.43
3937.50,81.44
3937.00,81.44
3936.50,81.45
3936.00,81.46
3935.50,81.47
3935.00,81.48
3934.50,81.49
3934.00,81.49
3933.50,81.50
3933.00,81.52
3932.50,81.53
3932.00,81.53
3931.50,81.52
3931.00,81.52
3930.50,81.52
3930.00,81.53
3929.50,81.53
3929.00,81.53
3928.50,81.53
3928.00,81.53
3927.50,81.52
3927.00,81.50
3926.50,81.49
3926.00,81.50
3925.50,81.53
3925.00,81.55
3924.50,81.57
3924.00,81.56
3923.50,81.56
3923.00,81.54
3922.50,81.53
3922.00,81.51
3921.50,81.51
3921.00,81.51
3920.50,81.52
3920.00,81.53
3919.50,81.51
3919.00,81.50
3918.50,81.49
3918.00,81.50
3917.50,81.51
3917.00,81.51
3916.50,81.49
3916.00,81.47
3915.50,81.45
3915.00,81.43
3914.50,81.42
3914.00,81.41
3913.50,81.40
3913.00,81.39
3912.50,81.37
3912.00,81.36
3911.50,81.35
3911.00,81.33
3910.50,81.31
3910.00,81.30
3909.50,81.28
3909.00,81.26
3908.50,81.24
3908.00,81.21
3907.50,81.18
3907.00,81.17
3906.50,81.17
3906.00,81.17
3905.50,81.17
3905.00,81.17
3904.50,81.16
3904.00,81.14
3903.50,81.10
3903.00,81.08
3902.50,81.07
3902.00,81.06
3901.50,81.02
3901.00,80.98
3900.50,80.94
3900.00,80.93
3899.50,80.94
3899.00,80.93
3898.50,80.90
3898.00,80.87
3897.50,80.85
3897.00,80.83
3896.50,80.81
3896.00,80.79
3895.50,80.77
3895.00,80.76
3894.50,80.75
3894.00,80.74
3893.50,80.73
3893.00,80.71
3892.50,80.72
3892.00,80.73
3891.50,80.74
3891.00,80.72
3890.50,80.68
3890.00,80.65
3889.50,80.64
3889.00,80.63
3888.50,80.62
3888.00,80.61
3887.50,80.60
3887.00,80.60
3886.50,80.63
3886.00,80.65
3885.50,80.64
3885.00,80.60
3884.50,80.57
3884.00,80.55
3883.50,80.54
3883.00,80.52
3882.50,80.49
3882.00,80.45
3881.50,80.45
3881.00,80.47
3880.50,80.49
3880.00,80.48
3879.50,80.46
3879.00,80.45
