Created as New Dataset,Sample 162 By irlear Date Thursday, June 06 2019
cm-1,%T
4000.00,79.32
3999.50,79.35
3999.00,79.37
3998.50,79.39
3998.00,79.41
3997.50,79.43
3997.00,79.45
3996.50,79.47
3996.00,79.49
3995.50,79.52
3995.00,79.55
3994.50,79.57
3994.00,79.59
3993.50,79.61
3993.00,79.63
3992.50,79.65
3992.00,79.67
3991.50,79.70
3991.00,79.73
3990.50,79.75
3990.00,79.77
3989.50,79.79
3989.00,79.81
3988.50,79.83
3988.00,79.85
3987.50,79.87
3987.00,79.90
3986.50,79.92
3986.00,79.95
3985.50,79.98
3985.00,80.00
3984.50,80.02
3984.00,80.04
3983.50,80.06
3983.00,80.07
3982.50,80.09
3982.00,80.11
3981.50,80.13
3981.00,80.15
3980.50,80.17
3980.00,80.19
3979.50,80.21
3979.00,80.23
3978.50,80.25
3978.00,80.28
3977.50,80.30
3977.00,80.32
3976.50,80.34
3976.00,80.36
3975.50,80.38
3975.00,80.40
3974.50,80.42
3974.00,80.44
3973.50,80.46
3973.00,80.48
3972.50,80.50
3972.00,80.52
3971.50,80.54
3971.00,80.55
3970.50,80.58
3970.00,80.60
3969.50,80.62
3969.00,80.64
3968.50,80.66
3968.00,80.68
3967.50,80.69
3967.00,80.71
3966.50,80.72
3966.00,80.74
3965.50,80.76
3965.00,80.78
3964.50,80.80
3964.00,80.82
3963.50,80.84
3963.00,80.86
3962.50,80.89
3962.00,80.91
3961.50,80.92
3961.00,80.93
3960.50,80.95
3960.00,80.96
3959.50,80.97
3959.00,80.99
3958.50,81.00
3958.00,81.02
3957.50,81.03
3957.00,81.05
3956.50,81.06
3956.00,81.06
3955.50,81.07
3955.00,81.08
3954.50,81.09
3954.00,81.10
3953.50,81.11
3953.00,81.12
3952.50,81.12
3952.00,81.11
3951.50,81.11
3951.00,81.12
3950.50,81.14
3950.00,81.16
3949.50,81.17
3949.00,81.19
3948.50,81.20
3948.00,81.22
3947.50,81.22
3947.00,81.22
3946.50,81.21
3946.00,81.21
3945.50,81.21
3945.00,81.21
3944.50,81.20
3944.00,81.21
3943.50,81.23
3943.00,81.25
3942.50,81.27
3942.00,81.29
3941.50,81.30
3941.00,81.31
3940.50,81.33
3940.00,81.34
3939.50,81.35
3939.00,81.36
3938.50,81.37
3938.00,81.37
3937.50,81.38
3937.00,81.39
3936.50,81.40
3936.00,81.41
3935.50,81.42
3935.00,81.43
3934.50,81.43
3934.00,81.43
3933.50,81.45
3933.00,81.46
3932.50,81.47
3932.00,81.47
3931.50,81.48
3931.00,81.48
3930.50,81.49
3930.00,81.50
3929.50,81.51
3929.00,81.50
3928.50,81.49
3928.00,81.48
3927.50,81.46
3927.00,81.44
3926.50,81.42
3926.00,81.43
3925.50,81.45
3925.00,81.49
3924.50,81.51
3924.00,81.52
3923.50,81.51
3923.00,81.49
3922.50,81.47
3922.00,81.45
3921.50,81.44
3921.00,81.44
3920.50,81.45
3920.00,81.45
3919.50,81.44
3919.00,81.43
3918.50,81.44
3918.00,81.45
3917.50,81.45
3917.00,81.45
3916.50,81.42
3916.00,81.40
3915.50,81.39
3915.00,81.37
3914.50,81.36
3914.00,81.34
3913.50,81.33
3913.00,81.32
3912.50,81.30
3912.00,81.29
3911.50,81.28
3911.00,81.27
3910.50,81.26
3910.00,81.24
3909.50,81.22
3909.00,81.20
3908.50,81.17
3908.00,81.15
3907.50,81.12
3907.00,81.10
3906.50,81.08
3906.00,81.09
3905.50,81.11
3905.00,81.13
3904.50,81.13
3904.00,81.09
3903.50,81.06
3903.00,81.05
3902.50,81.03
3902.00,81.00
3901.50,80.95
3901.00,80.91
3900.50,80.89
3900.00,80.88
3899.50,80.88
3899.00,80.87
3898.50,80.85
3898.00,80.84
3897.50,80.82
3897.00,80.81
3896.50,80.78
3896.00,80.76
3895.50,80.75
3895.00,80.74
3894.50,80.72
3894.00,80.70
3893.50,80.68
3893.00,80.67
3892.50,80.69
3892.00,80.71
3891.50,80.71
3891.00,80.68
3890.50,80.64
3890.00,80.62
3889.50,80.61
3889.00,80.60
3888.50,80.57
3888.00,80.54
3887.50,80.51
3887.00,80.51
3886.50,80.54
3886.00,80.56
3885.50,80.56
3885.00,80.54
3884.50,80.53
3884.00,80.52
3883.50,80.50
3883.00,80.47
3882.50,80.42
3882.00,80.37
3881.50,80.34
3881.00,80.35
3880.50,80.37
3880.00,80.37
3879.50,80.38
3879.00,80.39
3878.50,80.39
3878.00,80.38
3877.50,80.36
3877.00,80.32
3876.50,80.28
3876.00,80.23
3875.50,80.19
3875.00,80.20
3874.50,80.22
3874.00,80.23
3873.50,80.21
3873.00,80.19
3872.50,80.17
3872.00,80.14
3871.50,80.12
3871.00,80.13
3870.50,80.15
3870.00,80.13
3869.50,80.07
3869.00,80.02
3868.50,79.99
3868.00,79.96
3867.50,79.91
3867.00,79.87
3866.50,79.83
3866.00,79.81
3865.50,79.80
3865.00,79.78
3864.50,79.72
3864.00,79.65
3863.50,79.60
3863.00,79.55
3862.50,79.50
