Created as New Dataset,Sample 159 By irlear Date Thursday, June 06 2019
cm-1,%T
4000.00,79.21
3999.50,79.24
3999.00,79.26
3998.50,79.28
3998.00,79.30
3997.50,79.32
3997.00,79.34
3996.50,79.36
3996.00,79.39
3995.50,79.41
3995.00,79.44
3994.50,79.46
3994.00,79.48
3993.50,79.49
3993.00,79.51
3992.50,79.53
3992.00,79.55
3991.50,79.58
3991.00,79.60
3990.50,79.63
3990.00,79.65
3989.50,79.68
3989.00,79.70
3988.50,79.72
3988.00,79.74
3987.50,79.76
3987.00,79.79
3986.50,79.82
3986.00,79.85
3985.50,79.88
3985.00,79.90
3984.50,79.92
3984.00,79.93
3983.50,79.95
3983.00,79.96
3982.50,79.98
3982.00,80.00
3981.50,80.02
3981.00,80.04
3980.50,80.06
3980.00,80.08
3979.50,80.10
3979.00,80.12
3978.50,80.15
3978.00,80.17
3977.50,80.19
3977.00,80.21
3976.50,80.23
3976.00,80.25
3975.50,80.27
3975.00,80.29
3974.50,80.30
3974.00,80.33
3973.50,80.35
3973.00,80.37
3972.50,80.39
3972.00,80.40
3971.50,80.42
3971.00,80.44
3970.50,80.46
3970.00,80.48
3969.50,80.50
3969.00,80.52
3968.50,80.54
3968.00,80.56
3967.50,80.57
3967.00,80.59
3966.50,80.61
3966.00,80.63
3965.50,80.65
3965.00,80.66
3964.50,80.68
3964.00,80.69
3963.50,80.71
3963.00,80.73
3962.50,80.75
3962.00,80.77
3961.50,80.79
3961.00,80.80
3960.50,80.82
3960.00,80.83
3959.50,80.84
3959.00,80.86
3958.50,80.87
3958.00,80.89
3957.50,80.90
3957.00,80.92
3956.50,80.93
3956.00,80.94
3955.50,80.95
3955.00,80.95
3954.50,80.96
3954.00,80.98
3953.50,80.99
3953.00,81.00
3952.50,81.00
3952.00,81.00
3951.50,81.00
3951.00,81.01
3950.50,81.03
3950.00,81.04
3949.50,81.05
3949.00,81.07
3948.50,81.08
3948.00,81.09
3947.50,81.10
3947.00,81.10
3946.50,81.10
3946.00,81.10
3945.50,81.10
3945.00,81.10
3944.50,81.09
3944.00,81.10
3943.50,81.11
3943.00,81.13
3942.50,81.15
3942.00,81.17
3941.50,81.18
3941.00,81.19
3940.50,81.20
3940.00,81.21
3939.50,81.22
3939.00,81.23
3938.50,81.24
3938.00,81.25
3937.50,81.26
3937.00,81.27
3936.50,81.28
3936.00,81.29
3935.50,81.30
3935.00,81.30
3934.50,81.30
3934.00,81.31
3933.50,81.32
3933.00,81.33
3932.50,81.34
3932.00,81.34
3931.50,81.34
3931.00,81.35
3930.50,81.36
3930.00,81.37
3929.50,81.37
3929.00,81.37
3928.50,81.37
3928.00,81.35
3927.50,81.33
3927.00,81.31
3926.50,81.30
3926.00,81.30
3925.50,81.32
3925.00,81.35
3924.50,81.37
3924.00,81.38
3923.50,81.37
3923.00,81.36
3922.50,81.34
3922.00,81.32
3921.50,81.32
3921.00,81.32
3920.50,81.32
3920.00,81.32
3919.50,81.31
3919.00,81.31
3918.50,81.32
3918.00,81.33
3917.50,81.33
3917.00,81.32
3916.50,81.30
3916.00,81.28
3915.50,81.27
3915.00,81.26
3914.50,81.25
3914.00,81.24
3913.50,81.23
3913.00,81.21
3912.50,81.19
3912.00,81.18
3911.50,81.17
3911.00,81.16
3910.50,81.15
3910.00,81.13
3909.50,81.11
3909.00,81.09
3908.50,81.06
3908.00,81.03
3907.50,81.00
3907.00,80.97
3906.50,80.96
3906.00,80.97
3905.50,80.99
3905.00,81.01
3904.50,81.00
3904.00,80.96
3903.50,80.93
3903.00,80.92
3902.50,80.90
3902.00,80.87
3901.50,80.82
3901.00,80.78
3900.50,80.76
3900.00,80.76
3899.50,80.75
3899.00,80.74
3898.50,80.73
3898.00,80.71
3897.50,80.70
3897.00,80.68
3896.50,80.66
3896.00,80.64
3895.50,80.62
3895.00,80.61
3894.50,80.59
3894.00,80.57
3893.50,80.56
3893.00,80.56
3892.50,80.57
3892.00,80.60
3891.50,80.59
3891.00,80.56
3890.50,80.52
3890.00,80.50
3889.50,80.50
3889.00,80.48
3888.50,80.46
3888.00,80.42
3887.50,80.40
3887.00,80.40
3886.50,80.43
3886.00,80.45
3885.50,80.44
3885.00,80.42
3884.50,80.41
3884.00,80.40
3883.50,80.38
3883.00,80.35
3882.50,80.31
3882.00,80.26
3881.50,80.24
3881.00,80.25
3880.50,80.27
3880.00,80.27
3879.50,80.28
3879.00,80.28
3878.50,80.28
3878.00,80.27
3877.50,80.25
3877.00,80.21
3876.50,80.17
3876.00,80.12
3875.50,80.09
3875.00,80.09
3874.50,80.11
3874.00,80.11
3873.50,80.09
3873.00,80.07
3872.50,80.04
3872.00,80.02
3871.50,80.00
3871.00,80.01
3870.50,80.03
3870.00,80.01
3869.50,79.94
3869.00,79.89
3868.50,79.86
3868.00,79.83
3867.50,79.79
3867.00,79.75
3866.50,79.71
3866.00,79.69
3865.50,79.68
3865.00,79.65
3864.50,79.59
3864.00,79.53
3863.50,79.48
3863.00,79.43
3862.50,79.38
3862.00,79.31
3861.50,79.24
3861.00,79.18
3860.50,79.12
3860.00,79.06
3859.50,78.99
3859.00,78.91
3858.50,78.83
3858.00,78.75
3857.50,78.67
3857.00,78.57
3856.50,78.48
3856.00,78.41
3855.50,78.36
3855.00,78.26
3854.50,78.13
3854.00,78.03
3853.50,77.95
3853.00,77.87
3852.50,77.76
3852.00,77.63
3851.50,77.51
3851.00,77.43
3850.50,77.34
3850.00,77.24
3849.50,77.12
3849.00,76.98
3848.50,76.86
3848.00,76.74
3847.50,76.62
3847.00,76.49
3846.50,76.37
3846.00,76.23
3845.50,76.09
3845.00,75.95
3844.50,75.80
3844.00,75.64
3843.50,75.49
3843.00,75.35
3842.50,75.23
3842.00,75.11
3841.50,74.99
3841.00,74.86
3840.50,74.73
3840.00,74.61
3839.50,74.50
3839.00,74.41
3838.50,74.28
3838.00,74.12
3837.50,73.98
3837.00,73.89
3836.50,73.83
3836.00,73.76
3835.50,73.64
3835.00,73.50
3834.50,73.37
3834.00,73.27
3833.50,73.20
3833.00,73.13
3832.50,73.07
3832.00,72.99
3831.50,72.91
3831.00,72.84
3830.50,72.78
3830.00,72.73
3829.50,72.67
3829.00,72.60
3828.50,72.53
3828.00,72.48
3827.50,72.43
3827.00,72.39
3826.50,72.36
3826.00,72.32
3825.50,72.28
3825.00,72.24
3824.50,72.20
3824.00,72.15
3823.50,72.09
3823.00,72.03
3822.50,71.97
3822.00,71.98
3821.50,72.03
3821.00,72.02
3820.50,71.96
3820.00,71.91
3819.50,71.87
3819.00,71.82
3818.50,71.75
3818.00,71.68
3817.50,71.62
3817.00,71.58
3816.50,71.53
3816.00,71.45
3815.50,71.37
3815.00,71.32
3814.50,71.28
3814.00,71.22
3813.50,71.15
3813.00,71.07
3812.50,70.98
3812.00,70.90
3811.50,70.81
3811.00,70.73
3810.50,70.64
3810.00,70.55
3809.50,70.46
3809.00,70.37
3808.50,70.28
3808.00,70.20
3807.50,70.13
3807.00,70.03
3806.50,69.92
3806.00,69.84
3805.50,69.78
3805.00,69.70
3804.50,69.60
3804.00,69.49
3803.50,69.40
3803.00,69.31
3802.50,69.24
3802.00,69.16
3801.50,69.03
