Created as New Dataset,Sample 032 By irlear Date Monday, April 27 2009
cm-1,%T
4000.00,99.00
3999.75,99.01
3999.50,99.01
3999.25,99.01
3999.00,99.00
3998.75,98.99
3998.50,98.99
3998.25,98.99
3998.00,98.99
3997.75,99.00
3997.50,99.00
3997.25,99.00
3997.00,98.99
3996.75,98.99
3996.50,98.99
3996.25,98.99
3996.00,99.00
3995.75,99.01
3995.50,99.02
3995.25,99.02
3995.00,99.02
3994.75,99.02
3994.50,99.01
3994.25,99.01
3994.00,99.01
3993.75,99.01
3993.50,99.01
3993.25,99.00
3993.00,99.00
3992.75,99.00
3992.50,99.00
3992.25,99.00
3992.00,99.00
3991.75,98.99
3991.50,98.98
3991.25,98.98
3991.00,98.99
3990.75,99.00
3990.50,99.01
3990.25,99.01
3990.00,99.01
3989.75,99.01
3989.50,99.01
3989.25,99.01
3989.00,99.01
3988.75,99.01
3988.50,99.01
3988.25,99.01
3988.00,99.01
3987.75,99.01
3987.50,99.01
3987.25,99.02
3987.00,99.02
3986.75,99.02
3986.50,99.02
3986.25,99.02
3986.00,99.02
3985.75,99.02
3985.50,99.03
3985.25,99.03
3985.00,99.04
3984.75,99.04
3984.50,99.04
3984.25,99.03
3984.00,99.03
3983.75,99.03
3983.50,99.04
3983.25,99.05
3983.00,99.05
3982.75,99.04
3982.50,99.03
3982.25,99.02
3982.00,99.02
3981.75,99.02
3981.50,99.02
3981.25,99.02
3981.00,99.01
3980.75,99.02
3980.50,99.03
3980.25,99.04
3980.00,99.05
3979.75,99.06
3979.50,99.05
3979.25,99.04
3979.00,99.04
3978.75,99.03
3978.50,99.02
3978.25,99.02
3978.00,99.02
3977.75,99.03
3977.50,99.04
3977.25,99.05
3977.00,99.04
3976.75,99.03
3976.50,99.03
3976.25,99.02
3976.00,99.03
3975.75,99.03
3975.50,99.04
3975.25,99.05
3975.00,99.06
3974.75,99.06
3974.50,99.06
3974.25,99.05
3974.00,99.04
3973.75,99.04
3973.50,99.04
3973.25,99.05
3973.00,99.05
3972.75,99.05
3972.50,99.04
3972.25,99.05
3972.00,99.05
3971.75,99.06
3971.50,99.06
3971.25,99.06
3971.00,99.06
3970.75,99.06
3970.50,99.06
3970.25,99.05
3970.00,99.05
3969.75,99.05
3969.50,99.04
3969.25,99.04
3969.00,99.04
3968.75,99.05
3968.50,99.05
3968.25,99.05
3968.00,99.05
3967.75,99.06
3967.50,99.06
3967.25,99.06
3967.00,99.06
3966.75,99.06
3966.50,99.06
3966.25,99.06
3966.00,99.06
3965.75,99.06
3965.50,99.05
3965.25,99.05
3965.00,99.05
3964.75,99.06
3964.50,99.07
3964.25,99.07
3964.00,99.07
3963.75,99.07
3963.50,99.07
3963.25,99.06
3963.00,99.06
3962.75,99.05
3962.50,99.05
3962.25,99.05
3962.00,99.05
3961.75,99.05
3961.50,99.05
3961.25,99.05
3961.00,99.05
3960.75,99.05
3960.50,99.06
3960.25,99.07
3960.00,99.06
3959.75,99.05
3959.50,99.04
3959.25,99.05
3959.00,99.06
3958.75,99.07
3958.50,99.07
3958.25,99.08
3958.00,99.08
3957.75,99.08
3957.50,99.08
3957.25,99.08
3957.00,99.08
3956.75,99.08
3956.50,99.08
3956.25,99.08
3956.00,99.07
3955.75,99.07
3955.50,99.07
3955.25,99.07
3955.00,99.08
3954.75,99.09
3954.50,99.09
3954.25,99.09
3954.00,99.09
3953.75,99.08
3953.50,99.08
3953.25,99.07
3953.00,99.07
3952.75,99.07
3952.50,99.07
3952.25,99.07
3952.00,99.07
3951.75,99.07
3951.50,99.07
3951.25,99.07
3951.00,99.07
3950.75,99.07
3950.50,99.07
3950.25,99.07
3950.00,99.07
3949.75,99.07
3949.50,99.07
3949.25,99.07
3949.00,99.07
3948.75,99.07
3948.50,99.07
3948.25,99.08
3948.00,99.09
3947.75,99.09
3947.50,99.08
3947.25,99.07
3947.00,99.07
3946.75,99.07
3946.50,99.07
3946.25,99.07
3946.00,99.07
3945.75,99.07
3945.50,99.08
3945.25,99.09
3945.00,99.08
3944.75,99.08
3944.50,99.07
3944.25,99.06
3944.00,99.05
3943.75,99.05
3943.50,99.05
3943.25,99.06
3943.00,99.07
3942.75,99.09
3942.50,99.10
3942.25,99.10
3942.00,99.10
3941.75,99.10
3941.50,99.09
3941.25,99.09
3941.00,99.09
3940.75,99.08
3940.50,99.07
3940.25,99.07
3940.00,99.07
3939.75,99.07
3939.50,99.08
3939.25,99.08
3939.00,99.08
3938.75,99.07
3938.50,99.07
3938.25,99.08
3938.00,99.09
3937.75,99.09
3937.50,99.10
3937.25,99.10
3937.00,99.09
3936.75,99.09
3936.50,99.08
3936.25,99.07
3936.00,99.07
3935.75,99.07
3935.50,99.08
3935.25,99.08
3935.00,99.09
3934.75,99.08
3934.50,99.08
3934.25,99.07
3934.00,99.07
3933.75,99.08
3933.50,99.08
3933.25,99.09
3933.00,99.09
3932.75,99.09
3932.50,99.09
3932.25,99.10
3932.00,99.10
3931.75,99.10
3931.50,99.10
3931.25,99.09
3931.00,99.09
3930.75,99.08
3930.50,99.08
3930.25,99.07
3930.00,99.08
3929.75,99.08
3929.50,99.09
3929.25,99.10
3929.00,99.10
3928.75,99.11
3928.50,99.11
3928.25,99.11
3928.00,99.11
3927.75,99.11
3927.50,99.11
3927.25,99.10
3927.00,99.10
3926.75,99.09
3926.50,99.08
3926.25,99.08
3926.00,99.09
3925.75,99.10
3925.50,99.11
3925.25,99.10
3925.00,99.10
3924.75,99.10
3924.50,99.10
3924.25,99.11
3924.00,99.10
3923.75,99.10
3923.50,99.09
3923.25,99.09
3923.00,99.09
3922.75,99.10
3922.50,99.09
3922.25,99.09
3922.00,99.08
3921.75,99.07
3921.50,99.07
3921.25,99.07
3921.00,99.08
3920.75,99.09
3920.50,99.10
3920.25,99.10
3920.00,99.10
3919.75,99.10
3919.50,99.09
3919.25,99.09
3919.00,99.09
3918.75,99.09
3918.50,99.10
3918.25,99.12
3918.00,99.13
3917.75,99.14
3917.50,99.13
3917.25,99.12
3917.00,99.11
3916.75,99.11
3916.50,99.11
3916.25,99.12
3916.00,99.12
3915.75,99.12
3915.50,99.11
3915.25,99.10
3915.00,99.10
3914.75,99.10
3914.50,99.10
3914.25,99.10
3914.00,99.10
3913.75,99.10
3913.50,99.09
3913.25,99.08
3913.00,99.08
3912.75,99.08
3912.50,99.08
3912.25,99.09
3912.00,99.10
3911.75,99.10
3911.50,99.11
3911.25,99.11
3911.00,99.11
3910.75,99.11
3910.50,99.11
3910.25,99.10
3910.00,99.10
3909.75,99.10
3909.50,99.10
3909.25,99.10
3909.00,99.10
3908.75,99.11
3908.50,99.11
3908.25,99.11
3908.00,99.10
3907.75,99.10
3907.50,99.09
3907.25,99.09
3907.00,99.10
3906.75,99.11
3906.50,99.11
3906.25,99.11
3906.00,99.10
3905.75,99.08
3905.50,99.08
3905.25,99.07
3905.00,99.08
3904.75,99.08
3904.50,99.08
3904.25,99.08
3904.00,99.08
3903.75,99.09
3903.50,99.09
3903.25,99.09
3903.00,99.08
3902.75,99.08
3902.50,99.09
3902.25,99.10
3902.00,99.11
3901.75,99.11
3901.50,99.12
3901.25,99.12
3901.00,99.11
3900.75,99.10
3900.50,99.09
3900.25,99.08
3900.00,99.08
3899.75,99.08
3899.50,99.09
3899.25,99.10
3899.00,99.11
3898.75,99.11
