Created as New Dataset,Sample 226 By irlear Date Thursday, April 23 2009
cm-1,A
4000.00,0.0018
3999.00,0.0018
3998.00,0.0019
3997.00,0.0019
3996.00,0.0019
3995.00,0.0019
3994.00,0.0019
3993.00,0.0019
3992.00,0.0018
3991.00,0.0018
3990.00,0.0018
3989.00,0.0019
3988.00,0.0019
3987.00,0.0019
3986.00,0.0019
3985.00,0.0019
3984.00,0.0019
3983.00,0.0019
3982.00,0.0019
3981.00,0.0018
3980.00,0.0018
3979.00,0.0018
3978.00,0.0018
3977.00,0.0018
3976.00,0.0019
3975.00,0.0019
3974.00,0.0019
3973.00,0.0019
3972.00,0.0019
3971.00,0.0019
3970.00,0.0019
3969.00,0.0018
3968.00,0.0018
3967.00,0.0018
3966.00,0.0018
3965.00,0.0018
3964.00,0.0018
3963.00,0.0018
3962.00,0.0019
3961.00,0.0019
3960.00,0.0019
3959.00,0.0018
3958.00,0.0018
3957.00,0.0019
3956.00,0.0019
3955.00,0.0019
3954.00,0.0019
3953.00,0.0018
3952.00,0.0018
3951.00,0.0018
3950.00,0.0018
3949.00,0.0018
3948.00,0.0018
3947.00,0.0018
3946.00,0.0018
3945.00,0.0019
3944.00,0.0019
3943.00,0.0019
3942.00,0.0019
3941.00,0.0019
3940.00,0.0018
3939.00,0.0018
3938.00,0.0019
3937.00,0.0019
3936.00,0.0019
3935.00,0.0019
3934.00,0.0019
3933.00,0.0020
3932.00,0.0020
3931.00,0.0020
3930.00,0.0020
3929.00,0.0020
3928.00,0.0019
3927.00,0.0019
3926.00,0.0019
3925.00,0.0019
3924.00,0.0019
3923.00,0.0018
3922.00,0.0018
3921.00,0.0017
3920.00,0.0017
3919.00,0.0017
3918.00,0.0017
3917.00,0.0017
3916.00,0.0017
3915.00,0.0018
3914.00,0.0018
3913.00,0.0019
3912.00,0.0019
3911.00,0.0019
3910.00,0.0019
3909.00,0.0018
3908.00,0.0018
3907.00,0.0018
3906.00,0.0018
3905.00,0.0018
3904.00,0.0018
3903.00,0.0018
3902.00,0.0018
3901.00,0.0018
3900.00,0.0018
3899.00,0.0018
3898.00,0.0018
3897.00,0.0018
3896.00,0.0018
3895.00,0.0018
3894.00,0.0018
3893.00,0.0018
3892.00,0.0018
3891.00,0.0018
3890.00,0.0018
3889.00,0.0018
3888.00,0.0018
3887.00,0.0018
3886.00,0.0019
3885.00,0.0019
3884.00,0.0019
3883.00,0.0019
3882.00,0.0019
3881.00,0.0020
3880.00,0.0019
3879.00,0.0019
3878.00,0.0019
3877.00,0.0019
3876.00,0.0019
3875.00,0.0019
3874.00,0.0019
3873.00,0.0019
3872.00,0.0019
3871.00,0.0020
3870.00,0.0020
3869.00,0.0020
3868.00,0.0020
3867.00,0.0020
3866.00,0.0020
3865.00,0.0020
3864.00,0.0019
3863.00,0.0018
3862.00,0.0018
3861.00,0.0018
3860.00,0.0019
3859.00,0.0019
3858.00,0.0019
3857.00,0.0019
3856.00,0.0020
3855.00,0.0020
3854.00,0.0021
3853.00,0.0021
3852.00,0.0020
3851.00,0.0020
3850.00,0.0020
3849.00,0.0020
3848.00,0.0020
3847.00,0.0019
3846.00,0.0019
3845.00,0.0018
3844.00,0.0018
3843.00,0.0018
3842.00,0.0018
3841.00,0.0019
3840.00,0.0019
3839.00,0.0020
3838.00,0.0020
3837.00,0.0020
3836.00,0.0020
3835.00,0.0020
3834.00,0.0020
3833.00,0.0020
3832.00,0.0020
3831.00,0.0020
3830.00,0.0019
3829.00,0.0019
3828.00,0.0019
3827.00,0.0020
3826.00,0.0020
3825.00,0.0020
3824.00,0.0020
3823.00,0.0021
3822.00,0.0021
3821.00,0.0022
3820.00,0.0022
3819.00,0.0022
3818.00,0.0022
3817.00,0.0023
3816.00,0.0022
3815.00,0.0022
3814.00,0.0021
3813.00,0.0021
3812.00,0.0020
3811.00,0.0020
3810.00,0.0020
3809.00,0.0020
3808.00,0.0020
3807.00,0.0020
3806.00,0.0019
3805.00,0.0019
3804.00,0.0019
3803.00,0.0019
3802.00,0.0020
3801.00,0.0020
3800.00,0.0020
3799.00,0.0021
3798.00,0.0021
3797.00,0.0022
3796.00,0.0021
3795.00,0.0021
3794.00,0.0020
3793.00,0.0020
3792.00,0.0020
3791.00,0.0019
3790.00,0.0019
3789.00,0.0019
3788.00,0.0019
3787.00,0.0019
3786.00,0.0019
3785.00,0.0019
3784.00,0.0019
3783.00,0.0019
3782.00,0.0019
3781.00,0.0019
3780.00,0.0019
3779.00,0.0019
3778.00,0.0019
3777.00,0.0020
3776.00,0.0020
3775.00,0.0020
3774.00,0.0020
3773.00,0.0020
3772.00,0.0021
3771.00,0.0020
3770.00,0.0020
3769.00,0.0020
3768.00,0.0020
3767.00,0.0020
3766.00,0.0021
3765.00,0.0022
3764.00,0.0022
3763.00,0.0023
3762.00,0.0023
3761.00,0.0023
3760.00,0.0023
3759.00,0.0023
3758.00,0.0022
3757.00,0.0021
3756.00,0.0021
3755.00,0.0020
3754.00,0.0020
3753.00,0.0021
3752.00,0.0021
3751.00,0.0022
3750.00,0.0022
3749.00,0.0023
3748.00,0.0023
3747.00,0.0023
3746.00,0.0023
3745.00,0.0024
3744.00,0.0023
3743.00,0.0022
3742.00,0.0022
3741.00,0.0022
3740.00,0.0022
3739.00,0.0021
3738.00,0.0020
3737.00,0.0020
3736.00,0.0020
3735.00,0.0020
3734.00,0.0020
3733.00,0.0021
3732.00,0.0021
3731.00,0.0021
3730.00,0.0021
3729.00,0.0022
3728.00,0.0022
3727.00,0.0022
3726.00,0.0022
3725.00,0.0021
3724.00,0.0021
3723.00,0.0020
3722.00,0.0019
3721.00,0.0019
3720.00,0.0019
3719.00,0.0020
3718.00,0.0021
3717.00,0.0021
3716.00,0.0022
3715.00,0.0022
3714.00,0.0022
3713.00,0.0022
3712.00,0.0022
3711.00,0.0022
3710.00,0.0023
3709.00,0.0023
3708.00,0.0024
3707.00,0.0024
3706.00,0.0024
3705.00,0.0023
3704.00,0.0023
3703.00,0.0023
3702.00,0.0022
3701.00,0.0022
3700.00,0.0022
3699.00,0.0022
3698.00,0.0021
3697.00,0.0021
3696.00,0.0021
3695.00,0.0020
3694.00,0.0020
3693.00,0.0021
3692.00,0.0021
3691.00,0.0022
3690.00,0.0023
3689.00,0.0023
3688.00,0.0023
3687.00,0.0023
3686.00,0.0023
3685.00,0.0023
3684.00,0.0023
3683.00,0.0022
3682.00,0.0022
3681.00,0.0022
3680.00,0.0022
3679.00,0.0022
3678.00,0.0023
3677.00,0.0024
3676.00,0.0025
3675.00,0.0025
3674.00,0.0025
3673.00,0.0024
3672.00,0.0024
3671.00,0.0024
3670.00,0.0024
3669.00,0.0024
3668.00,0.0024
3667.00,0.0024
3666.00,0.0024
3665.00,0.0024
3664.00,0.0024
3663.00,0.0024
3662.00,0.0024
3661.00,0.0024
3660.00,0.0024
3659.00,0.0024
3658.00,0.0024
3657.00,0.0025
3656.00,0.0026
3655.00,0.0026
3654.00,0.0027
3653.00,0.0027
3652.00,0.0027
3651.00,0.0028
3650.00,0.0028
3649.00,0.0028
3648.00,0.0028
3647.00,0.0028
3646.00,0.0028
3645.00,0.0028
3644.00,0.0028
3643.00,0.0029
3642.00,0.0029
3641.00,0.0029
3640.00,0.0029
3639.00,0.0028
3638.00,0.0028
3637.00,0.0028
3636.00,0.0028
3635.00,0.0028
3634.00,0.0027
3633.00,0.0027
3632.00,0.0028
3631.00,0.0028
3630.00,0.0029
3629.00,0.0030
3628.00,0.0030
3627.00,0.0031
3626.00,0.0031
3625.00,0.0032
3624.00,0.0031
3623.00,0.0031
3622.00,0.0030
3621.00,0.0030
3620.00,0.0030
3619.00,0.0030
3618.00,0.0030
3617.00,0.0031
3616.00,0.0031
3615.00,0.0031
3614.00,0.0031
3613.00,0.0031
3612.00,0.0031
3611.00,0.0032
3610.00,0.0032
3609.00,0.0033
3608.00,0.0033
3607.00,0.0034
3606.00,0.0034
3605.00,0.0034
3604.00,0.0033
3603.00,0.0033
3602.00,0.0033
3601.00,0.0033
3600.00,0.0033
3599.00,0.0033
3598.00,0.0032
3597.00,0.0032
3596.00,0.0032
3595.00,0.0032
3594.00,0.0032
3593.00,0.0033
3592.00,0.0033
3591.00,0.0034
3590.00,0.0034
3589.00,0.0035
3588.00,0.0035
3587.00,0.0035
3586.00,0.0035
3585.00,0.0035
3584.00,0.0035
3583.00,0.0035
3582.00,0.0035
3581.00,0.0035
3580.00,0.0035
3579.00,0.0035
3578.00,0.0035
3577.00,0.0035
3576.00,0.0035
3575.00,0.0035
3574.00,0.0035
3573.00,0.0035
3572.00,0.0035
3571.00,0.0035
3570.00,0.0035
3569.00,0.0035
3568.00,0.0035
3567.00,0.0035
3566.00,0.0035
3565.00,0.0036
3564.00,0.0036
3563.00,0.0036
3562.00,0.0036
3561.00,0.0036
3560.00,0.0036
3559.00,0.0036
3558.00,0.0036
3557.00,0.0036
3556.00,0.0036
3555.00,0.0036
3554.00,0.0036
3553.00,0.0036
3552.00,0.0036
3551.00,0.0037
3550.00,0.0037
3549.00,0.0038
3548.00,0.0038
3547.00,0.0038
3546.00,0.0038
3545.00,0.0038
3544.00,0.0038
3543.00,0.0038
3542.00,0.0038
3541.00,0.0038
3540.00,0.0038
3539.00,0.0038
3538.00,0.0038
3537.00,0.0038
3536.00,0.0038
3535.00,0.0039
3534.00,0.0039
3533.00,0.0040
3532.00,0.0040
3531.00,0.0041
3530.00,0.0041
3529.00,0.0041
3528.00,0.0041
3527.00,0.0041
3526.00,0.0041
3525.00,0.0041
3524.00,0.0040
3523.00,0.0039
3522.00,0.0038
3521.00,0.0038
3520.00,0.0038
3519.00,0.0038
3518.00,0.0039
3517.00,0.0040
3516.00,0.0040
3515.00,0.0040
3514.00,0.0041
3513.00,0.0042
3512.00,0.0042
3511.00,0.0043
3510.00,0.0043
3509.00,0.0043
3508.00,0.0043
3507.00,0.0043
3506.00,0.0043
3505.00,0.0042
3504.00,0.0042
3503.00,0.0042
3502.00,0.0041
3501.00,0.0041
3500.00,0.0041
3499.00,0.0041
3498.00,0.0041
3497.00,0.0041
3496.00,0.0042
3495.00,0.0042
3494.00,0.0042
3493.00,0.0043
3492.00,0.0043
3491.00,0.0043
3490.00,0.0042
3489.00,0.0042
3488.00,0.0042
3487.00,0.0042
3486.00,0.0042
3485.00,0.0042
3484.00,0.0042
3483.00,0.0042
3482.00,0.0042
3481.00,0.0041
3480.00,0.0041
3479.00,0.0042
3478.00,0.0042
3477.00,0.0043
3476.00,0.0043
3475.00,0.0043
3474.00,0.0043
3473.00,0.0043
3472.00,0.0043
3471.00,0.0043
3470.00,0.0042
3469.00,0.0042
3468.00,0.0042
3467.00,0.0042
3466.00,0.0043
3465.00,0.0043
3464.00,0.0043
3463.00,0.0044
3462.00,0.0044
3461.00,0.0044
3460.00,0.0044
3459.00,0.0044
3458.00,0.0044
3457.00,0.0044
3456.00,0.0044
3455.00,0.0044
3454.00,0.0044
3453.00,0.0044
3452.00,0.0044
3451.00,0.0044
3450.00,0.0044
3449.00,0.0045
3448.00,0.0045
3447.00,0.0045
3446.00,0.0044
3445.00,0.0044
3444.00,0.0044
3443.00,0.0044
3442.00,0.0044
3441.00,0.0044
3440.00,0.0044
