Created as New Dataset,Sample 228 By irlear Date Friday, April 24 2009
cm-1,A
4000.00,0.0016
3999.00,0.0016
3998.00,0.0016
3997.00,0.0016
3996.00,0.0016
3995.00,0.0016
3994.00,0.0016
3993.00,0.0016
3992.00,0.0016
3991.00,0.0016
3990.00,0.0016
3989.00,0.0016
3988.00,0.0016
3987.00,0.0016
3986.00,0.0016
3985.00,0.0016
3984.00,0.0016
3983.00,0.0016
3982.00,0.0016
3981.00,0.0016
3980.00,0.0016
3979.00,0.0016
3978.00,0.0016
3977.00,0.0016
3976.00,0.0016
3975.00,0.0016
3974.00,0.0016
3973.00,0.0016
3972.00,0.0016
3971.00,0.0016
3970.00,0.0016
3969.00,0.0016
3968.00,0.0016
3967.00,0.0016
3966.00,0.0016
3965.00,0.0016
3964.00,0.0016
3963.00,0.0016
3962.00,0.0016
3961.00,0.0016
3960.00,0.0016
3959.00,0.0016
3958.00,0.0016
3957.00,0.0016
3956.00,0.0016
3955.00,0.0015
3954.00,0.0015
3953.00,0.0015
3952.00,0.0016
3951.00,0.0016
3950.00,0.0016
3949.00,0.0016
3948.00,0.0016
3947.00,0.0016
3946.00,0.0016
3945.00,0.0016
3944.00,0.0016
3943.00,0.0016
3942.00,0.0016
3941.00,0.0016
3940.00,0.0016
3939.00,0.0016
3938.00,0.0016
3937.00,0.0016
3936.00,0.0016
3935.00,0.0017
3934.00,0.0017
3933.00,0.0017
3932.00,0.0017
3931.00,0.0017
3930.00,0.0017
3929.00,0.0017
3928.00,0.0017
3927.00,0.0018
3926.00,0.0018
3925.00,0.0018
3924.00,0.0018
3923.00,0.0017
3922.00,0.0017
3921.00,0.0017
3920.00,0.0016
3919.00,0.0016
3918.00,0.0015
3917.00,0.0015
3916.00,0.0015
3915.00,0.0015
3914.00,0.0016
3913.00,0.0016
3912.00,0.0016
3911.00,0.0016
3910.00,0.0016
3909.00,0.0016
3908.00,0.0016
3907.00,0.0016
3906.00,0.0016
3905.00,0.0016
3904.00,0.0016
3903.00,0.0015
3902.00,0.0015
3901.00,0.0015
3900.00,0.0015
3899.00,0.0015
3898.00,0.0014
3897.00,0.0014
3896.00,0.0014
3895.00,0.0014
3894.00,0.0015
3893.00,0.0015
3892.00,0.0015
3891.00,0.0016
3890.00,0.0016
3889.00,0.0015
3888.00,0.0015
3887.00,0.0015
3886.00,0.0015
3885.00,0.0016
3884.00,0.0016
3883.00,0.0017
3882.00,0.0017
3881.00,0.0017
3880.00,0.0017
3879.00,0.0016
3878.00,0.0016
3877.00,0.0016
3876.00,0.0016
3875.00,0.0017
3874.00,0.0017
3873.00,0.0017
3872.00,0.0017
3871.00,0.0017
3870.00,0.0017
3869.00,0.0017
3868.00,0.0017
3867.00,0.0017
3866.00,0.0017
3865.00,0.0017
3864.00,0.0017
3863.00,0.0017
3862.00,0.0017
3861.00,0.0017
3860.00,0.0017
3859.00,0.0016
3858.00,0.0016
3857.00,0.0016
3856.00,0.0015
3855.00,0.0015
3854.00,0.0016
3853.00,0.0016
3852.00,0.0015
3851.00,0.0015
3850.00,0.0016
3849.00,0.0016
3848.00,0.0017
3847.00,0.0016
3846.00,0.0016
3845.00,0.0016
3844.00,0.0016
3843.00,0.0016
3842.00,0.0016
3841.00,0.0016
3840.00,0.0016
3839.00,0.0017
3838.00,0.0017
3837.00,0.0016
3836.00,0.0016
3835.00,0.0016
3834.00,0.0017
3833.00,0.0017
3832.00,0.0017
3831.00,0.0017
3830.00,0.0017
3829.00,0.0017
3828.00,0.0017
3827.00,0.0017
3826.00,0.0017
3825.00,0.0017
3824.00,0.0017
3823.00,0.0017
3822.00,0.0018
3821.00,0.0018
3820.00,0.0018
3819.00,0.0018
3818.00,0.0019
3817.00,0.0019
3816.00,0.0019
3815.00,0.0019
3814.00,0.0019
3813.00,0.0019
3812.00,0.0019
3811.00,0.0019
3810.00,0.0018
3809.00,0.0018
3808.00,0.0018
3807.00,0.0018
3806.00,0.0017
3805.00,0.0017
3804.00,0.0017
3803.00,0.0018
3802.00,0.0018
3801.00,0.0018
3800.00,0.0018
3799.00,0.0019
3798.00,0.0019
3797.00,0.0020
3796.00,0.0020
3795.00,0.0020
3794.00,0.0019
3793.00,0.0019
3792.00,0.0018
3791.00,0.0018
3790.00,0.0018
3789.00,0.0018
3788.00,0.0018
3787.00,0.0018
3786.00,0.0017
3785.00,0.0017
3784.00,0.0017
3783.00,0.0017
3782.00,0.0017
3781.00,0.0017
3780.00,0.0017
3779.00,0.0017
3778.00,0.0017
3777.00,0.0017
3776.00,0.0017
3775.00,0.0017
3774.00,0.0018
3773.00,0.0018
3772.00,0.0018
3771.00,0.0018
3770.00,0.0018
3769.00,0.0018
3768.00,0.0018
3767.00,0.0018
3766.00,0.0019
3765.00,0.0019
3764.00,0.0020
3763.00,0.0020
3762.00,0.0020
3761.00,0.0021
3760.00,0.0020
3759.00,0.0020
3758.00,0.0020
3757.00,0.0019
3756.00,0.0019
3755.00,0.0018
3754.00,0.0018
3753.00,0.0017
3752.00,0.0017
3751.00,0.0017
3750.00,0.0017
3749.00,0.0017
3748.00,0.0017
3747.00,0.0017
3746.00,0.0017
3745.00,0.0017
3744.00,0.0017
3743.00,0.0018
3742.00,0.0018
3741.00,0.0018
3740.00,0.0018
3739.00,0.0018
3738.00,0.0017
3737.00,0.0017
3736.00,0.0017
3735.00,0.0018
3734.00,0.0019
3733.00,0.0019
3732.00,0.0019
3731.00,0.0019
3730.00,0.0019
3729.00,0.0020
3728.00,0.0020
3727.00,0.0020
3726.00,0.0020
3725.00,0.0019
3724.00,0.0018
3723.00,0.0018
3722.00,0.0018
3721.00,0.0018
3720.00,0.0018
3719.00,0.0019
3718.00,0.0019
3717.00,0.0019
3716.00,0.0019
3715.00,0.0019
3714.00,0.0019
3713.00,0.0019
3712.00,0.0019
3711.00,0.0020
3710.00,0.0020
3709.00,0.0020
3708.00,0.0021
3707.00,0.0021
3706.00,0.0021
3705.00,0.0021
3704.00,0.0021
3703.00,0.0021
3702.00,0.0021
3701.00,0.0021
3700.00,0.0021
3699.00,0.0021
3698.00,0.0021
3697.00,0.0021
3696.00,0.0021
3695.00,0.0020
3694.00,0.0020
3693.00,0.0020
3692.00,0.0019
3691.00,0.0019
3690.00,0.0020
3689.00,0.0020
3688.00,0.0020
3687.00,0.0020
3686.00,0.0020
3685.00,0.0020
3684.00,0.0019
3683.00,0.0019
3682.00,0.0019
3681.00,0.0020
3680.00,0.0020
3679.00,0.0020
3678.00,0.0020
3677.00,0.0021
3676.00,0.0022
3675.00,0.0022
3674.00,0.0021
3673.00,0.0020
3672.00,0.0020
3671.00,0.0020
3670.00,0.0021
3669.00,0.0021
3668.00,0.0021
3667.00,0.0021
3666.00,0.0021
3665.00,0.0020
3664.00,0.0020
3663.00,0.0020
3662.00,0.0020
3661.00,0.0020
3660.00,0.0020
3659.00,0.0020
3658.00,0.0021
3657.00,0.0022
3656.00,0.0022
3655.00,0.0023
3654.00,0.0023
3653.00,0.0023
3652.00,0.0023
3651.00,0.0023
3650.00,0.0023
3649.00,0.0023
3648.00,0.0023
3647.00,0.0023
3646.00,0.0023
3645.00,0.0024
3644.00,0.0024
3643.00,0.0025
3642.00,0.0025
3641.00,0.0025
3640.00,0.0025
3639.00,0.0024
3638.00,0.0024
3637.00,0.0024
3636.00,0.0024
3635.00,0.0024
3634.00,0.0024
3633.00,0.0025
3632.00,0.0025
3631.00,0.0025
3630.00,0.0025
3629.00,0.0025
3628.00,0.0025
3627.00,0.0025
3626.00,0.0025
3625.00,0.0025
3624.00,0.0026
3623.00,0.0026
3622.00,0.0026
3621.00,0.0026
3620.00,0.0027
3619.00,0.0027
3618.00,0.0027
3617.00,0.0026
3616.00,0.0026
3615.00,0.0027
3614.00,0.0027
3613.00,0.0027
3612.00,0.0027
3611.00,0.0027
3610.00,0.0027
3609.00,0.0027
3608.00,0.0027
3607.00,0.0027
3606.00,0.0027
3605.00,0.0027
3604.00,0.0027
3603.00,0.0027
3602.00,0.0028
3601.00,0.0028
3600.00,0.0028
3599.00,0.0027
3598.00,0.0027
3597.00,0.0027
3596.00,0.0027
3595.00,0.0027
3594.00,0.0027
3593.00,0.0027
3592.00,0.0027
3591.00,0.0027
3590.00,0.0027
3589.00,0.0027
3588.00,0.0028
3587.00,0.0029
3586.00,0.0029
3585.00,0.0029
3584.00,0.0030
3583.00,0.0030
3582.00,0.0030
3581.00,0.0030
3580.00,0.0030
3579.00,0.0030
3578.00,0.0030
3577.00,0.0030
3576.00,0.0030
3575.00,0.0030
3574.00,0.0030
3573.00,0.0030
3572.00,0.0030
3571.00,0.0030
3570.00,0.0029
3569.00,0.0029
3568.00,0.0029
3567.00,0.0029
3566.00,0.0029
3565.00,0.0029
3564.00,0.0030
3563.00,0.0030
3562.00,0.0030
3561.00,0.0030
3560.00,0.0030
3559.00,0.0029
3558.00,0.0029
3557.00,0.0030
3556.00,0.0030
3555.00,0.0030
3554.00,0.0030
3553.00,0.0030
3552.00,0.0030
3551.00,0.0030
3550.00,0.0031
3549.00,0.0031
3548.00,0.0031
3547.00,0.0031
3546.00,0.0030
3545.00,0.0030
3544.00,0.0030
3543.00,0.0030
3542.00,0.0030
3541.00,0.0031
3540.00,0.0031
3539.00,0.0032
3538.00,0.0032
3537.00,0.0032
3536.00,0.0031
3535.00,0.0031
3534.00,0.0031
3533.00,0.0031
3532.00,0.0032
3531.00,0.0032
3530.00,0.0033
3529.00,0.0033
3528.00,0.0033
3527.00,0.0033
3526.00,0.0033
3525.00,0.0033
3524.00,0.0033
3523.00,0.0032
3522.00,0.0032
3521.00,0.0032
3520.00,0.0032
3519.00,0.0032
3518.00,0.0031
3517.00,0.0031
3516.00,0.0031
3515.00,0.0031
3514.00,0.0032
3513.00,0.0032
3512.00,0.0032
3511.00,0.0033
3510.00,0.0033
3509.00,0.0032
3508.00,0.0032
3507.00,0.0032
3506.00,0.0032
3505.00,0.0032
3504.00,0.0032
3503.00,0.0032
3502.00,0.0031
3501.00,0.0031
3500.00,0.0031
3499.00,0.0031
3498.00,0.0032
3497.00,0.0032
3496.00,0.0032
3495.00,0.0033
3494.00,0.0033
3493.00,0.0033
3492.00,0.0032
3491.00,0.0032
3490.00,0.0032
3489.00,0.0031
3488.00,0.0031
3487.00,0.0031
3486.00,0.0032
3485.00,0.0032
3484.00,0.0032
3483.00,0.0032
3482.00,0.0032
3481.00,0.0031
3480.00,0.0031
3479.00,0.0031
3478.00,0.0032
3477.00,0.0032
3476.00,0.0033
3475.00,0.0033
3474.00,0.0033
3473.00,0.0033
3472.00,0.0032
3471.00,0.0032
3470.00,0.0031
3469.00,0.0031
3468.00,0.0031
3467.00,0.0031
3466.00,0.0031
3465.00,0.0031
3464.00,0.0031
3463.00,0.0031
3462.00,0.0032
3461.00,0.0032
3460.00,0.0032
3459.00,0.0032
3458.00,0.0032
3457.00,0.0032
3456.00,0.0033
3455.00,0.0033
3454.00,0.0033
3453.00,0.0032
3452.00,0.0032
3451.00,0.0032
3450.00,0.0032
3449.00,0.0032
3448.00,0.0032
3447.00,0.0032
3446.00,0.0032
3445.00,0.0032
3444.00,0.0032
3443.00,0.0032
3442.00,0.0032
3441.00,0.0032
3440.00,0.0032
3439.00,0.0032
3438.00,0.0032
3437.00,0.0032
3436.00,0.0032
3435.00,0.0032
3434.00,0.0032
3433.00,0.0032
3432.00,0.0032
3431.00,0.0032
3430.00,0.0032
3429.00,0.0032
3428.00,0.0032
3427.00,0.0032
3426.00,0.0032
3425.00,0.0032
3424.00,0.0032
3423.00,0.0032
3422.00,0.0032
3421.00,0.0031
3420.00,0.0031
3419.00,0.0031
3418.00,0.0031
3417.00,0.0031
3416.00,0.0032
3415.00,0.0032
3414.00,0.0032
3413.00,0.0032
3412.00,0.0032
3411.00,0.0032
3410.00,0.0032
3409.00,0.0033
3408.00,0.0033
3407.00,0.0033
3406.00,0.0033
3405.00,0.0032
3404.00,0.0032
3403.00,0.0032
3402.00,0.0032
3401.00,0.0032
3400.00,0.0032
3399.00,0.0031
3398.00,0.0031
3397.00,0.0031
3396.00,0.0031
3395.00,0.0031
3394.00,0.0032
3393.00,0.0032
3392.00,0.0032
3391.00,0.0032
3390.00,0.0031
3389.00,0.0031
3388.00,0.0031
3387.00,0.0031
3386.00,0.0031
3385.00,0.0031
3384.00,0.0031
3383.00,0.0032
3382.00,0.0032
3381.00,0.0032
3380.00,0.0032
3379.00,0.0031
3378.00,0.0031
3377.00,0.0031
3376.00,0.0031
3375.00,0.0031
3374.00,0.0031
3373.00,0.0031
3372.00,0.0030
3371.00,0.0030
3370.00,0.0030
3369.00,0.0031
3368.00,0.0031
3367.00,0.0032
3366.00,0.0032
3365.00,0.0031
3364.00,0.0031
3363.00,0.0031
3362.00,0.0030
3361.00,0.0030
3360.00,0.0030
3359.00,0.0030
3358.00,0.0031
3357.00,0.0031
3356.00,0.0031
3355.00,0.0031
3354.00,0.0031
3353.00,0.0031
3352.00,0.0031
3351.00,0.0030
3350.00,0.0030
3349.00,0.0029
3348.00,0.0029
3347.00,0.0030
3346.00,0.0030
3345.00,0.0029
3344.00,0.0029
3343.00,0.0029
3342.00,0.0029
3341.00,0.0029
3340.00,0.0029
3339.00,0.0029
3338.00,0.0029
3337.00,0.0029
3336.00,0.0030
3335.00,0.0030
3334.00,0.0030
3333.00,0.0030
3332.00,0.0030
3331.00,0.0030
3330.00,0.0029
3329.00,0.0029
3328.00,0.0029
3327.00,0.0029
3326.00,0.0029
3325.00,0.0029
3324.00,0.0029
3323.00,0.0029
3322.00,0.0029
3321.00,0.0029
3320.00,0.0029
3319.00,0.0029
3318.00,0.0029
3317.00,0.0029
3316.00,0.0029
3315.00,0.0028
3314.00,0.0028
3313.00,0.0028
3312.00,0.0028
3311.00,0.0028
3310.00,0.0028
3309.00,0.0028
3308.00,0.0028
3307.00,0.0028
3306.00,0.0028
3305.00,0.0028
3304.00,0.0028
3303.00,0.0028
3302.00,0.0028
3301.00,0.0029
3300.00,0.0028
3299.00,0.0028
3298.00,0.0028
3297.00,0.0027
3296.00,0.0027
3295.00,0.0027
3294.00,0.0027
3293.00,0.0026
3292.00,0.0026
3291.00,0.0026
3290.00,0.0027
3289.00,0.0027
3288.00,0.0027
3287.00,0.0028
3286.00,0.0028
3285.00,0.0028
3284.00,0.0028
3283.00,0.0028
3282.00,0.0028
3281.00,0.0028
3280.00,0.0028
3279.00,0.0028
3278.00,0.0028
3277.00,0.0027
3276.00,0.0027
3275.00,0.0027
3274.00,0.0027
3273.00,0.0027
3272.00,0.0027
3271.00,0.0027
3270.00,0.0028
3269.00,0.0028
3268.00,0.0028
3267.00,0.0028
3266.00,0.0028
