Created as New Dataset,Sample 020 By irlear Date Sunday, April 26 2009
cm-1,%T
4000.00,98.36
3999.75,98.36
3999.50,98.36
3999.25,98.37
3999.00,98.37
3998.75,98.37
3998.50,98.37
3998.25,98.36
3998.00,98.36
3997.75,98.36
3997.50,98.36
3997.25,98.36
3997.00,98.37
3996.75,98.37
3996.50,98.38
3996.25,98.38
3996.00,98.39
3995.75,98.39
3995.50,98.38
3995.25,98.37
3995.00,98.37
3994.75,98.36
3994.50,98.37
3994.25,98.39
3994.00,98.40
3993.75,98.40
3993.50,98.39
3993.25,98.39
3993.00,98.39
3992.75,98.39
3992.50,98.39
3992.25,98.39
3992.00,98.38
3991.75,98.37
3991.50,98.37
3991.25,98.38
3991.00,98.39
3990.75,98.40
3990.50,98.40
3990.25,98.40
3990.00,98.39
3989.75,98.39
3989.50,98.38
3989.25,98.37
3989.00,98.36
3988.75,98.36
3988.50,98.36
3988.25,98.37
3988.00,98.38
3987.75,98.38
3987.50,98.38
3987.25,98.38
3987.00,98.38
3986.75,98.38
3986.50,98.38
3986.25,98.39
3986.00,98.39
3985.75,98.40
3985.50,98.41
3985.25,98.41
3985.00,98.40
3984.75,98.40
3984.50,98.39
3984.25,98.39
3984.00,98.38
3983.75,98.38
3983.50,98.38
3983.25,98.38
3983.00,98.38
3982.75,98.39
3982.50,98.39
3982.25,98.40
3982.00,98.40
3981.75,98.40
3981.50,98.40
3981.25,98.40
3981.00,98.40
3980.75,98.40
3980.50,98.41
3980.25,98.41
3980.00,98.41
3979.75,98.41
3979.50,98.40
3979.25,98.39
3979.00,98.39
3978.75,98.38
3978.50,98.38
3978.25,98.39
3978.00,98.40
3977.75,98.41
3977.50,98.42
3977.25,98.43
3977.00,98.42
3976.75,98.42
3976.50,98.42
3976.25,98.42
3976.00,98.41
3975.75,98.40
3975.50,98.40
3975.25,98.40
3975.00,98.41
3974.75,98.41
3974.50,98.42
3974.25,98.42
3974.00,98.41
3973.75,98.41
3973.50,98.40
3973.25,98.39
3973.00,98.39
3972.75,98.40
3972.50,98.41
3972.25,98.43
3972.00,98.43
3971.75,98.42
3971.50,98.41
3971.25,98.40
3971.00,98.40
3970.75,98.40
3970.50,98.40
3970.25,98.40
3970.00,98.41
3969.75,98.41
3969.50,98.42
3969.25,98.43
3969.00,98.43
3968.75,98.43
3968.50,98.42
3968.25,98.41
3968.00,98.40
3967.75,98.40
3967.50,98.40
3967.25,98.41
3967.00,98.41
3966.75,98.42
3966.50,98.43
3966.25,98.43
3966.00,98.44
3965.75,98.44
3965.50,98.43
3965.25,98.42
3965.00,98.41
3964.75,98.40
3964.50,98.40
3964.25,98.41
3964.00,98.41
3963.75,98.42
3963.50,98.43
3963.25,98.43
3963.00,98.43
3962.75,98.43
3962.50,98.43
3962.25,98.43
3962.00,98.44
3961.75,98.44
3961.50,98.44
3961.25,98.43
3961.00,98.42
3960.75,98.42
3960.50,98.42
3960.25,98.42
3960.00,98.42
3959.75,98.42
3959.50,98.42
3959.25,98.42
3959.00,98.42
3958.75,98.42
3958.50,98.42
3958.25,98.43
3958.00,98.44
3957.75,98.44
3957.50,98.45
3957.25,98.44
3957.00,98.44
3956.75,98.44
3956.50,98.44
3956.25,98.44
3956.00,98.44
3955.75,98.43
3955.50,98.44
3955.25,98.44
3955.00,98.44
3954.75,98.44
3954.50,98.43
3954.25,98.43
3954.00,98.43
3953.75,98.43
3953.50,98.43
3953.25,98.43
3953.00,98.43
3952.75,98.42
3952.50,98.42
3952.25,98.43
3952.00,98.43
3951.75,98.44
3951.50,98.44
3951.25,98.44
3951.00,98.44
3950.75,98.44
3950.50,98.45
3950.25,98.45
3950.00,98.45
3949.75,98.44
3949.50,98.44
