Created as New Dataset,Sample 015 By irlear Date Monday, April 27 2009
cm-1,%T
4000.00,98.23
3999.75,98.24
3999.50,98.23
3999.25,98.22
3999.00,98.21
3998.75,98.20
3998.50,98.20
3998.25,98.21
3998.00,98.21
3997.75,98.22
3997.50,98.22
3997.25,98.21
3997.00,98.20
3996.75,98.19
3996.50,98.19
3996.25,98.19
3996.00,98.19
3995.75,98.20
3995.50,98.21
3995.25,98.22
3995.00,98.23
3994.75,98.23
3994.50,98.23
3994.25,98.22
3994.00,98.22
3993.75,98.22
3993.50,98.22
3993.25,98.21
3993.00,98.21
3992.75,98.20
3992.50,98.20
3992.25,98.20
3992.00,98.21
3991.75,98.22
3991.50,98.22
3991.25,98.22
3991.00,98.21
3990.75,98.21
3990.50,98.21
3990.25,98.22
3990.00,98.22
3989.75,98.22
3989.50,98.21
3989.25,98.20
3989.00,98.20
3988.75,98.20
3988.50,98.20
3988.25,98.21
3988.00,98.21
3987.75,98.22
3987.50,98.23
3987.25,98.23
3987.00,98.24
3986.75,98.24
3986.50,98.24
3986.25,98.24
3986.00,98.24
3985.75,98.23
3985.50,98.23
3985.25,98.22
3985.00,98.22
3984.75,98.23
3984.50,98.23
3984.25,98.23
3984.00,98.23
3983.75,98.24
3983.50,98.24
3983.25,98.25
3983.00,98.25
3982.75,98.24
3982.50,98.23
3982.25,98.23
3982.00,98.23
3981.75,98.23
3981.50,98.24
3981.25,98.25
3981.00,98.24
3980.75,98.24
3980.50,98.24
3980.25,98.25
3980.00,98.26
3979.75,98.27
3979.50,98.27
3979.25,98.26
3979.00,98.25
3978.75,98.24
3978.50,98.24
3978.25,98.23
3978.00,98.24
3977.75,98.24
3977.50,98.25
3977.25,98.25
3977.00,98.25
3976.75,98.25
3976.50,98.24
3976.25,98.24
3976.00,98.25
3975.75,98.25
3975.50,98.26
3975.25,98.27
3975.00,98.28
3974.75,98.27
3974.50,98.26
3974.25,98.25
3974.00,98.25
3973.75,98.26
3973.50,98.27
3973.25,98.28
3973.00,98.28
3972.75,98.28
3972.50,98.26
3972.25,98.26
3972.00,98.26
3971.75,98.26
3971.50,98.26
3971.25,98.27
3971.00,98.26
3970.75,98.26
3970.50,98.26
3970.25,98.26
3970.00,98.26
3969.75,98.26
3969.50,98.26
3969.25,98.27
3969.00,98.27
3968.75,98.27
3968.50,98.26
3968.25,98.26
3968.00,98.26
3967.75,98.26
3967.50,98.26
3967.25,98.26
3967.00,98.26
3966.75,98.27
3966.50,98.27
3966.25,98.27
3966.00,98.28
3965.75,98.27
3965.50,98.27
3965.25,98.27
3965.00,98.28
3964.75,98.28
3964.50,98.28
3964.25,98.29
3964.00,98.29
3963.75,98.29
3963.50,98.30
3963.25,98.29
3963.00,98.28
3962.75,98.27
3962.50,98.27
3962.25,98.28
