Created as New Dataset,Sample 011 By irlear Date Monday, April 27 2009
cm-1,%T
4000.00,98.52
3999.75,98.53
3999.50,98.52
3999.25,98.51
3999.00,98.50
3998.75,98.49
3998.50,98.49
3998.25,98.49
3998.00,98.49
3997.75,98.50
3997.50,98.50
3997.25,98.50
3997.00,98.50
3996.75,98.50
3996.50,98.50
3996.25,98.50
3996.00,98.50
3995.75,98.51
3995.50,98.51
3995.25,98.51
3995.00,98.51
3994.75,98.51
3994.50,98.50
3994.25,98.50
3994.00,98.50
3993.75,98.51
3993.50,98.52
3993.25,98.52
3993.00,98.52
3992.75,98.51
3992.50,98.50
3992.25,98.50
3992.00,98.51
3991.75,98.51
3991.50,98.51
3991.25,98.51
3991.00,98.51
3990.75,98.51
3990.50,98.52
3990.25,98.52
3990.00,98.52
3989.75,98.51
3989.50,98.51
3989.25,98.50
3989.00,98.49
3988.75,98.49
3988.50,98.49
3988.25,98.50
3988.00,98.51
3987.75,98.51
3987.50,98.52
3987.25,98.52
3987.00,98.53
3986.75,98.53
3986.50,98.54
3986.25,98.53
3986.00,98.53
3985.75,98.52
3985.50,98.51
3985.25,98.51
3985.00,98.51
3984.75,98.51
3984.50,98.50
3984.25,98.50
3984.00,98.51
3983.75,98.52
3983.50,98.53
3983.25,98.54
3983.00,98.54
3982.75,98.53
3982.50,98.52
3982.25,98.51
3982.00,98.51
3981.75,98.51
3981.50,98.52
3981.25,98.53
3981.00,98.53
3980.75,98.53
3980.50,98.53
3980.25,98.53
3980.00,98.54
3979.75,98.55
3979.50,98.54
3979.25,98.53
3979.00,98.52
3978.75,98.51
3978.50,98.51
3978.25,98.51
3978.00,98.51
3977.75,98.51
3977.50,98.52
3977.25,98.52
3977.00,98.52
3976.75,98.52
3976.50,98.52
3976.25,98.52
3976.00,98.52
3975.75,98.53
3975.50,98.53
3975.25,98.53
3975.00,98.53
3974.75,98.53
3974.50,98.54
3974.25,98.54
3974.00,98.54
3973.75,98.54
3973.50,98.54
3973.25,98.55
3973.00,98.55
3972.75,98.55
