Created as New Dataset,Sample 033 By irlear Date Monday, April 27 2009
cm-1,%T
4000.00,103.14
3999.75,103.14
3999.50,103.14
3999.25,103.13
3999.00,103.12
3998.75,103.12
3998.50,103.11
3998.25,103.12
3998.00,103.12
3997.75,103.13
3997.50,103.13
3997.25,103.13
3997.00,103.13
3996.75,103.12
3996.50,103.12
3996.25,103.11
3996.00,103.11
3995.75,103.12
3995.50,103.13
3995.25,103.14
3995.00,103.14
3994.75,103.14
3994.50,103.14
3994.25,103.14
3994.00,103.15
3993.75,103.15
3993.50,103.15
3993.25,103.14
3993.00,103.13
3992.75,103.13
3992.50,103.13
3992.25,103.13
3992.00,103.13
3991.75,103.13
3991.50,103.13
3991.25,103.13
3991.00,103.11
3990.75,103.11
3990.50,103.11
3990.25,103.12
3990.00,103.12
3989.75,103.12
3989.50,103.12
3989.25,103.11
3989.00,103.11
3988.75,103.11
3988.50,103.12
3988.25,103.13
3988.00,103.14
3987.75,103.14
3987.50,103.15
3987.25,103.16
3987.00,103.16
3986.75,103.17
3986.50,103.16
3986.25,103.15
3986.00,103.14
3985.75,103.14
3985.50,103.13
3985.25,103.12
3985.00,103.12
3984.75,103.11
3984.50,103.12
3984.25,103.12
3984.00,103.13
3983.75,103.14
3983.50,103.15
3983.25,103.16
3983.00,103.15
3982.75,103.13
3982.50,103.12
3982.25,103.11
3982.00,103.11
3981.75,103.12
3981.50,103.13
3981.25,103.13
3981.00,103.13
3980.75,103.13
3980.50,103.13
3980.25,103.13
3980.00,103.14
3979.75,103.14
3979.50,103.14
3979.25,103.13
3979.00,103.12
3978.75,103.11
3978.50,103.11
3978.25,103.11
3978.00,103.11
3977.75,103.12
3977.50,103.13
3977.25,103.13
3977.00,103.13
3976.75,103.13
3976.50,103.12
3976.25,103.13
3976.00,103.13
3975.75,103.14
3975.50,103.14
3975.25,103.15
3975.00,103.15
3974.75,103.15
3974.50,103.15
3974.25,103.14
3974.00,103.13
3973.75,103.13
3973.50,103.14
3973.25,103.15
3973.00,103.15
3972.75,103.15
3972.50,103.14
3972.25,103.14
3972.00,103.14
3971.75,103.14
3971.50,103.14
3971.25,103.15
3971.00,103.15
3970.75,103.15
3970.50,103.14
3970.25,103.14
3970.00,103.14
3969.75,103.15
3969.50,103.15
3969.25,103.15
3969.00,103.14
3968.75,103.14
3968.50,103.13
3968.25,103.13
3968.00,103.13
3967.75,103.13
3967.50,103.13
3967.25,103.14
3967.00,103.14
3966.75,103.15
3966.50,103.15
3966.25,103.14
3966.00,103.13
3965.75,103.13
3965.50,103.13
3965.25,103.13
3965.00,103.14
3964.75,103.14
3964.50,103.15
3964.25,103.15
3964.00,103.15
3963.75,103.15
3963.50,103.15
3963.25,103.15
3963.00,103.15
3962.75,103.15
3962.50,103.15
3962.25,103.15
3962.00,103.14
3961.75,103.13
3961.50,103.12
3961.25,103.12
3961.00,103.13
3960.75,103.14
3960.50,103.15
3960.25,103.15
3960.00,103.15
3959.75,103.14
3959.50,103.14
3959.25,103.14
3959.00,103.14
3958.75,103.14
3958.50,103.14
3958.25,103.13
3958.00,103.13
3957.75,103.13
3957.50,103.14
3957.25,103.14
3957.00,103.15
3956.75,103.15
3956.50,103.15
3956.25,103.14
3956.00,103.14
3955.75,103.14
3955.50,103.14
3955.25,103.14
3955.00,103.15
3954.75,103.15
3954.50,103.15
3954.25,103.16
3954.00,103.15
3953.75,103.15
3953.50,103.14
3953.25,103.14
3953.00,103.14
3952.75,103.14
3952.50,103.15
3952.25,103.15
3952.00,103.16
3951.75,103.15
3951.50,103.15
3951.25,103.14
3951.00,103.13
3950.75,103.13
3950.50,103.13
3950.25,103.14
3950.00,103.14
3949.75,103.14
3949.50,103.14
3949.25,103.13
3949.00,103.13
3948.75,103.13
3948.50,103.13
3948.25,103.14
3948.00,103.15
3947.75,103.15
3947.50,103.15
3947.25,103.15
3947.00,103.14
3946.75,103.14
3946.50,103.14
3946.25,103.14
3946.00,103.14
3945.75,103.14
3945.50,103.14
3945.25,103.15
3945.00,103.15
3944.75,103.15
3944.50,103.14
3944.25,103.14
3944.00,103.13
3943.75,103.13
3943.50,103.13
3943.25,103.13
3943.00,103.13
3942.75,103.13
3942.50,103.13
3942.25,103.13
3942.00,103.13
3941.75,103.13
3941.50,103.13
3941.25,103.14
3941.00,103.15
3940.75,103.14
3940.50,103.14
3940.25,103.13
3940.00,103.13
3939.75,103.13
3939.50,103.14
3939.25,103.15
3939.00,103.14
3938.75,103.13
3938.50,103.13
3938.25,103.13
3938.00,103.13
3937.75,103.14
3937.50,103.14
3937.25,103.14
3937.00,103.14
3936.75,103.15
3936.50,103.15
3936.25,103.14
3936.00,103.14
3935.75,103.13
3935.50,103.13
3935.25,103.13
3935.00,103.13
3934.75,103.12
3934.50,103.12
3934.25,103.12
3934.00,103.13
3933.75,103.14
3933.50,103.14
3933.25,103.14
3933.00,103.14
3932.75,103.13
3932.50,103.13
3932.25,103.12
3932.00,103.12
3931.75,103.12
3931.50,103.13
3931.25,103.14
3931.00,103.14
3930.75,103.13
3930.50,103.13
3930.25,103.12
3930.00,103.12
3929.75,103.12
3929.50,103.12
3929.25,103.12
3929.00,103.12
3928.75,103.13
3928.50,103.14
3928.25,103.15
3928.00,103.15
3927.75,103.15
3927.50,103.15
3927.25,103.14
3927.00,103.14
3926.75,103.14
3926.50,103.13
3926.25,103.13
3926.00,103.13
3925.75,103.13
3925.50,103.13
3925.25,103.12
3925.00,103.12
3924.75,103.12
3924.50,103.13
3924.25,103.14
3924.00,103.14
3923.75,103.14
3923.50,103.13
3923.25,103.13
3923.00,103.13
3922.75,103.13
3922.50,103.13
3922.25,103.12
3922.00,103.11
3921.75,103.11
3921.50,103.11
3921.25,103.11
3921.00,103.12
3920.75,103.12
3920.50,103.13
3920.25,103.13
3920.00,103.14
3919.75,103.14
3919.50,103.14
3919.25,103.14
3919.00,103.15
3918.75,103.15
3918.50,103.16
3918.25,103.17
