Created as New Dataset,Sample 018 By irlear Date Thursday, April 16 2009
cm-1,A
4000.00,0.5934
3999.75,0.5934
3999.50,0.5934
3999.25,0.5933
3999.00,0.5933
3998.75,0.5933
3998.50,0.5934
3998.25,0.5935
3998.00,0.5935
3997.75,0.5935
3997.50,0.5934
3997.25,0.5934
3997.00,0.5933
3996.75,0.5932
3996.50,0.5932
3996.25,0.5932
3996.00,0.5932
3995.75,0.5932
3995.50,0.5931
3995.25,0.5931
3995.00,0.5931
3994.75,0.5931
3994.50,0.5931
3994.25,0.5930
3994.00,0.5930
3993.75,0.5930
3993.50,0.5929
3993.25,0.5929
3993.00,0.5928
3992.75,0.5928
3992.50,0.5927
3992.25,0.5927
3992.00,0.5927
3991.75,0.5927
3991.50,0.5928
3991.25,0.5928
3991.00,0.5928
3990.75,0.5928
3990.50,0.5927
3990.25,0.5927
3990.00,0.5926
3989.75,0.5926
3989.50,0.5926
3989.25,0.5926
3989.00,0.5926
3988.75,0.5926
3988.50,0.5926
3988.25,0.5926
3988.00,0.5925
3987.75,0.5924
3987.50,0.5923
3987.25,0.5923
3987.00,0.5923
3986.75,0.5924
3986.50,0.5924
3986.25,0.5924
3986.00,0.5924
3985.75,0.5923
3985.50,0.5923
3985.25,0.5922
3985.00,0.5922
3984.75,0.5922
3984.50,0.5922
3984.25,0.5922
3984.00,0.5921
3983.75,0.5921
3983.50,0.5921
3983.25,0.5921
3983.00,0.5921
3982.75,0.5920
3982.50,0.5919
3982.25,0.5918
3982.00,0.5918
3981.75,0.5918
3981.50,0.5918
3981.25,0.5918
3981.00,0.5918
3980.75,0.5917
3980.50,0.5916
3980.25,0.5916
3980.00,0.5916
3979.75,0.5917
3979.50,0.5917
3979.25,0.5917
3979.00,0.5917
3978.75,0.5916
3978.50,0.5915
3978.25,0.5915
3978.00,0.5915
3977.75,0.5915
3977.50,0.5915
3977.25,0.5915
3977.00,0.5914
3976.75,0.5914
3976.50,0.5913
3976.25,0.5913
3976.00,0.5913
3975.75,0.5912
3975.50,0.5912
3975.25,0.5912
3975.00,0.5912
3974.75,0.5913
3974.50,0.5912
3974.25,0.5912
3974.00,0.5911
3973.75,0.5911
3973.50,0.5911
3973.25,0.5911
3973.00,0.5910
3972.75,0.5909
3972.50,0.5909
3972.25,0.5910
3972.00,0.5910
3971.75,0.5910
3971.50,0.5910
3971.25,0.5910
3971.00,0.5910
3970.75,0.5910
3970.50,0.5909
3970.25,0.5909
3970.00,0.5909
3969.75,0.5908
3969.50,0.5908
3969.25,0.5907
3969.00,0.5907
3968.75,0.5907
3968.50,0.5906
3968.25,0.5906
3968.00,0.5906
3967.75,0.5906
3967.50,0.5906
3967.25,0.5906
3967.00,0.5905
3966.75,0.5905
3966.50,0.5904
3966.25,0.5903
3966.00,0.5902
3965.75,0.5901
3965.50,0.5901
3965.25,0.5901
3965.00,0.5901
3964.75,0.5902
3964.50,0.5902
3964.25,0.5903
3964.00,0.5902
3963.75,0.5901
3963.50,0.5901
3963.25,0.5901
3963.00,0.5901
3962.75,0.5902
3962.50,0.5901
3962.25,0.5900
3962.00,0.5899
3961.75,0.5899
3961.50,0.5900
3961.25,0.5900
3961.00,0.5900
3960.75,0.5900
3960.50,0.5900
3960.25,0.5900
3960.00,0.5899
3959.75,0.5899
3959.50,0.5898
3959.25,0.5898
3959.00,0.5899
3958.75,0.5899
3958.50,0.5898
3958.25,0.5897
3958.00,0.5896
3957.75,0.5896
3957.50,0.5896
3957.25,0.5895
3957.00,0.5894
3956.75,0.5894
3956.50,0.5895
3956.25,0.5895
3956.00,0.5896
3955.75,0.5896
3955.50,0.5896
3955.25,0.5895
3955.00,0.5895
3954.75,0.5894
3954.50,0.5894
3954.25,0.5894
3954.00,0.5894
3953.75,0.5894
3953.50,0.5893
3953.25,0.5893
3953.00,0.5893
3952.75,0.5893
3952.50,0.5892
3952.25,0.5891
3952.00,0.5890
3951.75,0.5889
3951.50,0.5890
3951.25,0.5891
3951.00,0.5891
3950.75,0.5891
3950.50,0.5891
3950.25,0.5890
3950.00,0.5890
3949.75,0.5890
3949.50,0.5890
3949.25,0.5889
3949.00,0.5887
3948.75,0.5886
3948.50,0.5886
3948.25,0.5887
3948.00,0.5888
3947.75,0.5888
3947.50,0.5887
3947.25,0.5887
3947.00,0.5886
3946.75,0.5885
3946.50,0.5884
3946.25,0.5884
3946.00,0.5884
3945.75,0.5885
3945.50,0.5886
3945.25,0.5887
3945.00,0.5886
3944.75,0.5884
3944.50,0.5884
3944.25,0.5884
3944.00,0.5885
3943.75,0.5885
3943.50,0.5885
3943.25,0.5884
3943.00,0.5883
3942.75,0.5884
3942.50,0.5885
3942.25,0.5885
3942.00,0.5883
3941.75,0.5882
3941.50,0.5881
3941.25,0.5881
3941.00,0.5880
3940.75,0.5879
3940.50,0.5879
3940.25,0.5879
3940.00,0.5879
3939.75,0.5880
3939.50,0.5880
3939.25,0.5879
3939.00,0.5879
3938.75,0.5878
3938.50,0.5878
3938.25,0.5879
3938.00,0.5880
3937.75,0.5880
3937.50,0.5879
3937.25,0.5878
3937.00,0.5877
3936.75,0.5876
3936.50,0.5876
3936.25,0.5876
3936.00,0.5875
3935.75,0.5874
3935.50,0.5874
3935.25,0.5875
3935.00,0.5876
3934.75,0.5877
3934.50,0.5876
3934.25,0.5876
3934.00,0.5876
3933.75,0.5876
3933.50,0.5877
3933.25,0.5878
3933.00,0.5877
3932.75,0.5874
3932.50,0.5873
3932.25,0.5873
3932.00,0.5874
3931.75,0.5874
3931.50,0.5872
3931.25,0.5871
3931.00,0.5871
3930.75,0.5871
3930.50,0.5873
3930.25,0.5875
3930.00,0.5875
3929.75,0.5874
3929.50,0.5874
3929.25,0.5874
3929.00,0.5874
3928.75,0.5872
3928.50,0.5870
3928.25,0.5869
3928.00,0.5869
3927.75,0.5869
3927.50,0.5869
3927.25,0.5868
3927.00,0.5868
3926.75,0.5868
3926.50,0.5869
3926.25,0.5871
3926.00,0.5871
3925.75,0.5871
3925.50,0.5870
3925.25,0.5870
3925.00,0.5870
3924.75,0.5868
3924.50,0.5866
3924.25,0.5865
3924.00,0.5864
3923.75,0.5864
3923.50,0.5865
3923.25,0.5866
3923.00,0.5866
3922.75,0.5865
3922.50,0.5865
3922.25,0.5864
3922.00,0.5864
3921.75,0.5864
3921.50,0.5864
3921.25,0.5865
3921.00,0.5865
3920.75,0.5864
3920.50,0.5862
3920.25,0.5861
3920.00,0.5863
3919.75,0.5864
3919.50,0.5863
3919.25,0.5862
3919.00,0.5862
3918.75,0.5863
3918.50,0.5864
3918.25,0.5864
3918.00,0.5863
3917.75,0.5862
3917.50,0.5862
3917.25,0.5863
3917.00,0.5862
3916.75,0.5859
3916.50,0.5857
3916.25,0.5857
3916.00,0.5859
3915.75,0.5859
3915.50,0.5859
3915.25,0.5858
3915.00,0.5858
3914.75,0.5857
3914.50,0.5857
3914.25,0.5857
3914.00,0.5857
3913.75,0.5856
3913.50,0.5854
3913.25,0.5853
3913.00,0.5853
3912.75,0.5852
3912.50,0.5853
3912.25,0.5854
3912.00,0.5854
3911.75,0.5855
3911.50,0.5855
3911.25,0.5856
3911.00,0.5857
3910.75,0.5856
3910.50,0.5855
3910.25,0.5853
3910.00,0.5852
3909.75,0.5851
3909.50,0.5851
3909.25,0.5852
3909.00,0.5852
3908.75,0.5852
3908.50,0.5852
3908.25,0.5853
3908.00,0.5853
3907.75,0.5852
3907.50,0.5852
3907.25,0.5853
3907.00,0.5853
3906.75,0.5852
3906.50,0.5851
3906.25,0.5851
3906.00,0.5853
3905.75,0.5855
3905.50,0.5857
3905.25,0.5857
3905.00,0.5857
3904.75,0.5855
3904.50,0.5853
3904.25,0.5855
3904.00,0.5857
3903.75,0.5853
3903.50,0.5848
3903.25,0.5847
3903.00,0.5850
3902.75,0.5853
3902.50,0.5852
3902.25,0.5848
3902.00,0.5847
3901.75,0.5850
3901.50,0.5851
3901.25,0.5846
3901.00,0.5843
3900.75,0.5844
3900.50,0.5847
3900.25,0.5851
3900.00,0.5853
3899.75,0.5852
3899.50,0.5851
3899.25,0.5854
3899.00,0.5854
3898.75,0.5848
3898.50,0.5843
3898.25,0.5842
3898.00,0.5843
3897.75,0.5845
3897.50,0.5845
3897.25,0.5845
3897.00,0.5844
3896.75,0.5843
3896.50,0.5842
3896.25,0.5842
3896.00,0.5841
3895.75,0.5841
3895.50,0.5842
3895.25,0.5842
3895.00,0.5843
3894.75,0.5842
3894.50,0.5842
3894.25,0.5842
3894.00,0.5842
3893.75,0.5842
3893.50,0.5841
3893.25,0.5840
3893.00,0.5840
3892.75,0.5841
3892.50,0.5842
3892.25,0.5843
3892.00,0.5841
3891.75,0.5838
3891.50,0.5838
3891.25,0.5844
3891.00,0.5845
3890.75,0.5841
3890.50,0.5836
3890.25,0.5835
3890.00,0.5835
3889.75,0.5836
3889.50,0.5836
3889.25,0.5835
3889.00,0.5835
3888.75,0.5835
3888.50,0.5834
3888.25,0.5834
3888.00,0.5834
3887.75,0.5834
3887.50,0.5835
3887.25,0.5836
3887.00,0.5839
3886.75,0.5841
3886.50,0.5840
3886.25,0.5836
3886.00,0.5830
3885.75,0.5835
3885.50,0.5839
3885.25,0.5835
3885.00,0.5830
3884.75,0.5829
3884.50,0.5830
3884.25,0.5832
3884.00,0.5833
3883.75,0.5832
3883.50,0.5832
3883.25,0.5832
3883.00,0.5832
3882.75,0.5831
3882.50,0.5831
3882.25,0.5831
3882.00,0.5832
3881.75,0.5833
3881.50,0.5834
3881.25,0.5836
3881.00,0.5837
3880.75,0.5834
3880.50,0.5830
3880.25,0.5831
3880.00,0.5834
3879.75,0.5831
3879.50,0.5827
3879.25,0.5825
3879.00,0.5825
3878.75,0.5826
3878.50,0.5826
3878.25,0.5826
3878.00,0.5825
3877.75,0.5825
3877.50,0.5825
3877.25,0.5826
3877.00,0.5826
3876.75,0.5826
3876.50,0.5826
3876.25,0.5826
3876.00,0.5827
3875.75,0.5829
3875.50,0.5830
3875.25,0.5831
3875.00,0.5831
3874.75,0.5829
3874.50,0.5827
3874.25,0.5828
3874.00,0.5830
3873.75,0.5829
3873.50,0.5826
3873.25,0.5823
3873.00,0.5822
3872.75,0.5823
3872.50,0.5824
