Created as New Dataset,Sample 022 By irlear Date Thursday, April 16 2009
cm-1,A
4000.00,0.5843
3999.75,0.5844
3999.50,0.5845
3999.25,0.5846
3999.00,0.5846
3998.75,0.5845
3998.50,0.5845
3998.25,0.5844
3998.00,0.5842
3997.75,0.5842
3997.50,0.5841
3997.25,0.5841
3997.00,0.5841
3996.75,0.5842
3996.50,0.5842
3996.25,0.5843
3996.00,0.5843
3995.75,0.5843
3995.50,0.5842
3995.25,0.5842
3995.00,0.5841
3994.75,0.5841
3994.50,0.5841
3994.25,0.5841
3994.00,0.5839
3993.75,0.5838
3993.50,0.5838
3993.25,0.5838
3993.00,0.5839
3992.75,0.5839
3992.50,0.5839
3992.25,0.5839
3992.00,0.5838
3991.75,0.5837
3991.50,0.5837
3991.25,0.5837
3991.00,0.5838
3990.75,0.5838
3990.50,0.5838
3990.25,0.5838
3990.00,0.5837
3989.75,0.5836
3989.50,0.5836
3989.25,0.5836
3989.00,0.5836
3988.75,0.5836
3988.50,0.5835
3988.25,0.5835
3988.00,0.5835
3987.75,0.5835
3987.50,0.5835
3987.25,0.5834
3987.00,0.5833
3986.75,0.5832
3986.50,0.5832
3986.25,0.5831
3986.00,0.5831
3985.75,0.5831
3985.50,0.5831
3985.25,0.5830
3985.00,0.5829
3984.75,0.5828
3984.50,0.5827
3984.25,0.5827
3984.00,0.5827
3983.75,0.5828
3983.50,0.5829
3983.25,0.5830
3983.00,0.5830
3982.75,0.5829
3982.50,0.5828
3982.25,0.5827
3982.00,0.5828
3981.75,0.5829
3981.50,0.5829
3981.25,0.5830
3981.00,0.5830
3980.75,0.5830
3980.50,0.5829
3980.25,0.5828
3980.00,0.5827
3979.75,0.5826
3979.50,0.5826
3979.25,0.5826
3979.00,0.5826
3978.75,0.5826
3978.50,0.5825
3978.25,0.5825
3978.00,0.5825
3977.75,0.5825
3977.50,0.5825
3977.25,0.5825
3977.00,0.5824
3976.75,0.5822
3976.50,0.5822
3976.25,0.5822
3976.00,0.5823
3975.75,0.5823
3975.50,0.5824
3975.25,0.5824
3975.00,0.5824
3974.75,0.5824
3974.50,0.5824
3974.25,0.5823
3974.00,0.5822
3973.75,0.5821
3973.50,0.5820
3973.25,0.5820
3973.00,0.5820
3972.75,0.5820
3972.50,0.5821
3972.25,0.5821
3972.00,0.5820
3971.75,0.5820
3971.50,0.5819
3971.25,0.5818
3971.00,0.5818
3970.75,0.5818
3970.50,0.5817
3970.25,0.5817
3970.00,0.5816
3969.75,0.5816
3969.50,0.5817
3969.25,0.5817
3969.00,0.5817
3968.75,0.5817
3968.50,0.5817
3968.25,0.5816
3968.00,0.5815
3967.75,0.5815
3967.50,0.5815
3967.25,0.5816
3967.00,0.5816
3966.75,0.5816
3966.50,0.5815
3966.25,0.5815
3966.00,0.5814
3965.75,0.5814
3965.50,0.5814
3965.25,0.5813
3965.00,0.5811
3964.75,0.5810
3964.50,0.5810
3964.25,0.5811
3964.00,0.5812
3963.75,0.5812
3963.50,0.5813
3963.25,0.5812
3963.00,0.5811
3962.75,0.5810
3962.50,0.5809
3962.25,0.5809
3962.00,0.5810
3961.75,0.5811
3961.50,0.5812
3961.25,0.5811
3961.00,0.5811
3960.75,0.5810
3960.50,0.5809
3960.25,0.5807
3960.00,0.5806
3959.75,0.5806
3959.50,0.5806
3959.25,0.5806
3959.00,0.5806
3958.75,0.5806
3958.50,0.5807
3958.25,0.5807
3958.00,0.5808
3957.75,0.5807
3957.50,0.5806
3957.25,0.5805
3957.00,0.5805
3956.75,0.5805
3956.50,0.5806
3956.25,0.5805
3956.00,0.5804
3955.75,0.5804
3955.50,0.5803
3955.25,0.5803
3955.00,0.5802
3954.75,0.5802
3954.50,0.5801
3954.25,0.5801
3954.00,0.5802
3953.75,0.5802
3953.50,0.5803
3953.25,0.5803
3953.00,0.5803
3952.75,0.5802
3952.50,0.5802
3952.25,0.5801
3952.00,0.5801
3951.75,0.5801
3951.50,0.5802
3951.25,0.5801
3951.00,0.5800
3950.75,0.5800
3950.50,0.5799
3950.25,0.5800
3950.00,0.5802
3949.75,0.5803
3949.50,0.5802
3949.25,0.5800
3949.00,0.5798
3948.75,0.5797
3948.50,0.5796
3948.25,0.5796
3948.00,0.5796
3947.75,0.5797
3947.50,0.5797
3947.25,0.5797
3947.00,0.5797
3946.75,0.5796
3946.50,0.5796
3946.25,0.5795
3946.00,0.5795
3945.75,0.5795
3945.50,0.5795
3945.25,0.5795
3945.00,0.5795
3944.75,0.5795
3944.50,0.5795
3944.25,0.5794
3944.00,0.5794
3943.75,0.5794
3943.50,0.5795
3943.25,0.5794
3943.00,0.5794
3942.75,0.5796
3942.50,0.5797
3942.25,0.5796
3942.00,0.5794
3941.75,0.5792
3941.50,0.5791
3941.25,0.5790
3941.00,0.5790
3940.75,0.5790
3940.50,0.5790
3940.25,0.5791
3940.00,0.5790
3939.75,0.5790
3939.50,0.5790
3939.25,0.5790
3939.00,0.5790
3938.75,0.5791
3938.50,0.5790
3938.25,0.5789
3938.00,0.5788
3937.75,0.5788
3937.50,0.5789
3937.25,0.5788
3937.00,0.5788
3936.75,0.5788
3936.50,0.5787
3936.25,0.5787
3936.00,0.5787
3935.75,0.5787
3935.50,0.5786
3935.25,0.5785
3935.00,0.5785
3934.75,0.5786
3934.50,0.5786
3934.25,0.5786
3934.00,0.5784
3933.75,0.5783
3933.50,0.5782
3933.25,0.5781
3933.00,0.5781
3932.75,0.5781
3932.50,0.5784
3932.25,0.5787
3932.00,0.5788
3931.75,0.5786
3931.50,0.5784
3931.25,0.5782
3931.00,0.5781
3930.75,0.5782
3930.50,0.5783
3930.25,0.5783
3930.00,0.5783
3929.75,0.5783
3929.50,0.5783
3929.25,0.5782
3929.00,0.5782
3928.75,0.5781
3928.50,0.5781
3928.25,0.5780
3928.00,0.5779
3927.75,0.5779
3927.50,0.5778
3927.25,0.5778
3927.00,0.5779
3926.75,0.5780
3926.50,0.5780
3926.25,0.5779
3926.00,0.5779
3925.75,0.5780
3925.50,0.5780
3925.25,0.5781
3925.00,0.5780
3924.75,0.5780
3924.50,0.5779
3924.25,0.5779
3924.00,0.5778
3923.75,0.5778
3923.50,0.5778
3923.25,0.5777
3923.00,0.5776
3922.75,0.5776
3922.50,0.5775
3922.25,0.5773
3922.00,0.5772
3921.75,0.5772
3921.50,0.5772
3921.25,0.5772
3921.00,0.5773
3920.75,0.5774
3920.50,0.5773
3920.25,0.5772
3920.00,0.5773
3919.75,0.5774
3919.50,0.5773
3919.25,0.5772
3919.00,0.5770
3918.75,0.5768
3918.50,0.5767
3918.25,0.5767
3918.00,0.5768
3917.75,0.5767
3917.50,0.5767
3917.25,0.5768
3917.00,0.5769
3916.75,0.5770
3916.50,0.5770
3916.25,0.5769
3916.00,0.5769
3915.75,0.5769
3915.50,0.5769
3915.25,0.5768
3915.00,0.5767
3914.75,0.5768
3914.50,0.5768
3914.25,0.5767
3914.00,0.5767
3913.75,0.5768
3913.50,0.5768
3913.25,0.5768
3913.00,0.5766
3912.75,0.5765
3912.50,0.5765
3912.25,0.5766
3912.00,0.5766
3911.75,0.5765
3911.50,0.5765
3911.25,0.5765
3911.00,0.5765
3910.75,0.5764
3910.50,0.5764
3910.25,0.5764
3910.00,0.5763
3909.75,0.5763
3909.50,0.5763
3909.25,0.5763
3909.00,0.5763
3908.75,0.5763
3908.50,0.5763
3908.25,0.5762
3908.00,0.5762
3907.75,0.5762
3907.50,0.5762
3907.25,0.5763
3907.00,0.5764
3906.75,0.5764
3906.50,0.5764
3906.25,0.5763
3906.00,0.5762
3905.75,0.5760
3905.50,0.5758
3905.25,0.5758
3905.00,0.5762
3904.75,0.5760
3904.50,0.5755
3904.25,0.5757
3904.00,0.5760
3903.75,0.5759
3903.50,0.5757
3903.25,0.5754
3903.00,0.5752
3902.75,0.5755
3902.50,0.5757
3902.25,0.5756
3902.00,0.5757
3901.75,0.5758
3901.50,0.5757
3901.25,0.5754
3901.00,0.5752
3900.75,0.5750
3900.50,0.5750
3900.25,0.5756
3900.00,0.5759
3899.75,0.5754
3899.50,0.5754
3899.25,0.5760
3899.00,0.5761
3898.75,0.5760
3898.50,0.5758
3898.25,0.5755
