Created as New Dataset,Sample 012 By irlear Date Monday, April 27 2009
cm-1,%T
4000.00,102.97
3999.75,102.97
3999.50,102.96
3999.25,102.96
3999.00,102.96
3998.75,102.96
3998.50,102.95
3998.25,102.96
3998.00,102.96
3997.75,102.96
3997.50,102.96
3997.25,102.96
3997.00,102.95
3996.75,102.95
3996.50,102.96
3996.25,102.96
3996.00,102.97
3995.75,102.97
3995.50,102.97
3995.25,102.97
3995.00,102.96
3994.75,102.96
3994.50,102.96
3994.25,102.96
3994.00,102.96
3993.75,102.97
3993.50,102.97
3993.25,102.97
3993.00,102.96
3992.75,102.95
3992.50,102.94
3992.25,102.94
3992.00,102.94
3991.75,102.94
3991.50,102.95
3991.25,102.95
3991.00,102.95
3990.75,102.95
3990.50,102.96
3990.25,102.97
3990.00,102.97
3989.75,102.97
3989.50,102.96
3989.25,102.95
3989.00,102.94
3988.75,102.93
3988.50,102.94
3988.25,102.95
3988.00,102.96
3987.75,102.97
3987.50,102.98
3987.25,102.98
3987.00,102.97
3986.75,102.97
3986.50,102.96
3986.25,102.96
3986.00,102.97
3985.75,102.97
3985.50,102.98
3985.25,102.98
3985.00,102.98
3984.75,102.98
3984.50,102.97
3984.25,102.97
3984.00,102.97
3983.75,102.97
3983.50,102.98
3983.25,102.99
3983.00,102.99
3982.75,102.98
3982.50,102.97
3982.25,102.97
3982.00,102.96
3981.75,102.96
3981.50,102.97
3981.25,102.97
3981.00,102.97
3980.75,102.97
3980.50,102.98
3980.25,102.99
3980.00,102.99
3979.75,102.99
3979.50,102.99
3979.25,102.98
3979.00,102.98
3978.75,102.97
3978.50,102.96
3978.25,102.96
3978.00,102.97
3977.75,102.98
3977.50,102.99
3977.25,102.99
3977.00,102.99
3976.75,102.98
3976.50,102.97
3976.25,102.97
3976.00,102.97
3975.75,102.97
3975.50,102.97
3975.25,102.97
3975.00,102.98
3974.75,102.98
3974.50,102.98
3974.25,102.98
3974.00,102.98
3973.75,102.97
3973.50,102.98
3973.25,102.98
3973.00,102.99
3972.75,102.99
3972.50,102.99
3972.25,102.99
3972.00,103.00
3971.75,103.00
3971.50,103.00
3971.25,102.99
3971.00,102.98
3970.75,102.98
3970.50,102.98
3970.25,102.99
3970.00,102.99
3969.75,102.99
3969.50,102.99
3969.25,102.99
3969.00,102.98
3968.75,102.98
3968.50,102.98
3968.25,102.97
3968.00,102.97
3967.75,102.96
3967.50,102.96
3967.25,102.97
3967.00,102.98
3966.75,102.99
3966.50,103.00
3966.25,102.99
3966.00,102.99
3965.75,102.98
3965.50,102.98
3965.25,102.98
3965.00,102.98
3964.75,102.98
3964.50,102.99
3964.25,103.00
3964.00,103.00
3963.75,103.00
3963.50,102.99
3963.25,102.99
3963.00,102.98
3962.75,102.98
3962.50,102.99
3962.25,102.99
