Created as New Dataset,Sample 023 By irlear Date Monday, April 27 2009
cm-1,%T
4000.00,96.60
3999.75,96.60
3999.50,96.59
3999.25,96.59
3999.00,96.58
3998.75,96.59
3998.50,96.59
3998.25,96.58
3998.00,96.58
3997.75,96.58
3997.50,96.59
3997.25,96.59
3997.00,96.59
3996.75,96.59
3996.50,96.59
3996.25,96.59
3996.00,96.59
3995.75,96.60
3995.50,96.60
3995.25,96.60
3995.00,96.59
3994.75,96.58
3994.50,96.58
3994.25,96.58
3994.00,96.59
3993.75,96.60
3993.50,96.60
3993.25,96.60
3993.00,96.59
3992.75,96.58
3992.50,96.58
3992.25,96.58
3992.00,96.58
3991.75,96.58
3991.50,96.58
3991.25,96.58
3991.00,96.58
3990.75,96.59
3990.50,96.59
3990.25,96.60
3990.00,96.60
3989.75,96.61
3989.50,96.60
3989.25,96.59
3989.00,96.59
3988.75,96.58
3988.50,96.58
3988.25,96.58
3988.00,96.58
3987.75,96.59
3987.50,96.60
3987.25,96.60
3987.00,96.60
3986.75,96.60
3986.50,96.60
3986.25,96.60
3986.00,96.60
3985.75,96.60
3985.50,96.58
3985.25,96.57
3985.00,96.57
3984.75,96.58
3984.50,96.59
3984.25,96.60
3984.00,96.61
3983.75,96.62
3983.50,96.63
3983.25,96.63
3983.00,96.63
3982.75,96.61
3982.50,96.60
3982.25,96.59
3982.00,96.60
3981.75,96.61
3981.50,96.62
3981.25,96.62
3981.00,96.61
3980.75,96.61
3980.50,96.61
3980.25,96.62
3980.00,96.63
3979.75,96.64
3979.50,96.63
3979.25,96.63
3979.00,96.62
3978.75,96.61
3978.50,96.61
3978.25,96.60
3978.00,96.60
3977.75,96.60
3977.50,96.61
3977.25,96.62
3977.00,96.62
3976.75,96.62
3976.50,96.61
3976.25,96.61
3976.00,96.61
3975.75,96.62
3975.50,96.61
3975.25,96.62
3975.00,96.62
3974.75,96.62
3974.50,96.63
3974.25,96.63
3974.00,96.63
3973.75,96.63
3973.50,96.63
3973.25,96.64
3973.00,96.64
3972.75,96.63
3972.50,96.64
3972.25,96.64
3972.00,96.64
3971.75,96.63
3971.50,96.63
3971.25,96.62
3971.00,96.62
3970.75,96.63
3970.50,96.63
3970.25,96.63
3970.00,96.64
3969.75,96.64
3969.50,96.64
3969.25,96.64
3969.00,96.64
3968.75,96.64
3968.50,96.64
3968.25,96.64
3968.00,96.64
3967.75,96.63
3967.50,96.63
3967.25,96.64
3967.00,96.65
3966.75,96.65
3966.50,96.66
3966.25,96.65
3966.00,96.64
3965.75,96.64
3965.50,96.64
3965.25,96.64
3965.00,96.64
3964.75,96.64
3964.50,96.65
3964.25,96.65
3964.00,96.65
3963.75,96.65
3963.50,96.65
3963.25,96.65
3963.00,96.65
3962.75,96.65
3962.50,96.65
3962.25,96.65
3962.00,96.64
3961.75,96.64
3961.50,96.64
3961.25,96.63
3961.00,96.63
3960.75,96.64
3960.50,96.64
3960.25,96.64
3960.00,96.64
3959.75,96.63
3959.50,96.63
3959.25,96.63
3959.00,96.63
3958.75,96.64
3958.50,96.64
3958.25,96.65
3958.00,96.65
3957.75,96.65
3957.50,96.65
3957.25,96.65
3957.00,96.66
3956.75,96.66
3956.50,96.66
3956.25,96.65
3956.00,96.64
3955.75,96.64
3955.50,96.64
3955.25,96.65
3955.00,96.65
3954.75,96.65
3954.50,96.65
3954.25,96.65
3954.00,96.65
3953.75,96.65
3953.50,96.66
3953.25,96.66
3953.00,96.66
3952.75,96.66
3952.50,96.65
3952.25,96.65
3952.00,96.65
3951.75,96.65
3951.50,96.66
3951.25,96.66
3951.00,96.65
3950.75,96.65
3950.50,96.64
3950.25,96.64
3950.00,96.64
3949.75,96.64
3949.50,96.65
3949.25,96.65
3949.00,96.66
3948.75,96.66
3948.50,96.66
3948.25,96.67
3948.00,96.67
3947.75,96.68
3947.50,96.69
3947.25,96.69
3947.00,96.68
3946.75,96.68
3946.50,96.67
3946.25,96.66
3946.00,96.66
3945.75,96.66
3945.50,96.66
3945.25,96.66
3945.00,96.65
3944.75,96.65
3944.50,96.66
3944.25,96.66
3944.00,96.67
3943.75,96.68
3943.50,96.68
3943.25,96.68
3943.00,96.68
3942.75,96.68
3942.50,96.67
3942.25,96.67
3942.00,96.67
3941.75,96.67
3941.50,96.67
3941.25,96.68
3941.00,96.68
3940.75,96.68
3940.50,96.68
3940.25,96.67
3940.00,96.66
3939.75,96.66
3939.50,96.67
3939.25,96.68
3939.00,96.68
3938.75,96.68
3938.50,96.67
3938.25,96.67
3938.00,96.67
3937.75,96.68
3937.50,96.68
3937.25,96.68
3937.00,96.69
3936.75,96.69
3936.50,96.70
3936.25,96.69
3936.00,96.69
3935.75,96.68
3935.50,96.67
3935.25,96.67
3935.00,96.66
3934.75,96.66
3934.50,96.65
3934.25,96.65
3934.00,96.66
3933.75,96.67
3933.50,96.68
3933.25,96.68
3933.00,96.68
3932.75,96.68
3932.50,96.67
3932.25,96.67
3932.00,96.68
3931.75,96.68
3931.50,96.68
3931.25,96.68
3931.00,96.67
3930.75,96.67
3930.50,96.67
3930.25,96.66
3930.00,96.66
3929.75,96.66
3929.50,96.66
3929.25,96.67
3929.00,96.67
3928.75,96.67
3928.50,96.67
3928.25,96.67
3928.00,96.67
3927.75,96.67
3927.50,96.68
3927.25,96.68
3927.00,96.67
3926.75,96.67
3926.50,96.66
3926.25,96.66
3926.00,96.67
3925.75,96.69
3925.50,96.69
3925.25,96.69
3925.00,96.68
3924.75,96.67
3924.50,96.67
3924.25,96.68
3924.00,96.68
3923.75,96.68
3923.50,96.68
3923.25,96.67
3923.00,96.67
3922.75,96.68
3922.50,96.68
3922.25,96.68
3922.00,96.67
3921.75,96.67
3921.50,96.66
3921.25,96.66
3921.00,96.66
3920.75,96.67
3920.50,96.67
3920.25,96.67
3920.00,96.68
3919.75,96.68
3919.50,96.69
3919.25,96.69
3919.00,96.69
3918.75,96.69
3918.50,96.69
3918.25,96.70
3918.00,96.71
3917.75,96.71
3917.50,96.71
3917.25,96.70
3917.00,96.70
3916.75,96.70
3916.50,96.70
3916.25,96.70
3916.00,96.70
3915.75,96.70
3915.50,96.69
3915.25,96.68
3915.00,96.68
3914.75,96.69
3914.50,96.70
3914.25,96.70
3914.00,96.70
3913.75,96.69
3913.50,96.68
3913.25,96.67
3913.00,96.67
3912.75,96.68
3912.50,96.69
3912.25,96.69
3912.00,96.70
3911.75,96.70
3911.50,96.70
3911.25,96.70
3911.00,96.70
3910.75,96.71
3910.50,96.71
3910.25,96.71
3910.00,96.71
3909.75,96.71
3909.50,96.70
3909.25,96.70
3909.00,96.70
3908.75,96.69
3908.50,96.69
3908.25,96.69
3908.00,96.70
3907.75,96.70
3907.50,96.70
3907.25,96.70
3907.00,96.71
3906.75,96.71
3906.50,96.71
3906.25,96.71
3906.00,96.70
3905.75,96.69
3905.50,96.69
3905.25,96.68
3905.00,96.68
3904.75,96.67
3904.50,96.67
3904.25,96.67
3904.00,96.67
3903.75,96.68
3903.50,96.68
3903.25,96.68
3903.00,96.68
3902.75,96.69
3902.50,96.69
3902.25,96.69
3902.00,96.69
3901.75,96.69
