cm-1,CB-5e-5_0,CB-5e-5_5,CB-5e-5_10,CB-5e-5_20,CB-5e-5_30,CB-5e-5_40,CB-5e-5_50,CB-5e-5_60,CB-5e-5_120
402.0919,-0.08144164428051806,-0.09976998952188275,-0.1044420534862684,-0.042904750277443705,-0.07216905214956204,-0.03105254047817041,-9.485971488827168e-05,-0.06946468726700482,0.00853893526741513
403.0562,-0.08123166074181465,-0.09964109543258838,-0.1053281870723187,-0.04314871233667215,-0.0730227121914224,-0.03186566123113964,0.0006022332311297302,-0.06920880259315203,0.0072221541570546555
404.0204,-0.08116686074889397,-0.09973482652685427,-0.10545823935154551,-0.04327156043098446,-0.0739428748729015,-0.032916572880038214,0.0009955546408396054,-0.06967783629219693,0.005950917309644581
404.9847,-0.08131991004724202,-0.09993900312220491,-0.10446970498078476,-0.0431831511714676,-0.07479590467350468,-0.034068037819008655,0.0010290373647654778,-0.07073065210179919,0.0047297786980359585
405.9489,-0.08154285288002866,-0.09995078674376462,-0.10245363870575441,-0.042821762783930545,-0.07530427259233277,-0.03516737609211988,0.0007095982009049397,-0.07204123348747216,0.003512975708558048
406.9132,-0.08157164230936878,-0.09957577636258333,-0.09971004694090241,-0.042219797023456365,-0.07522211838116125,-0.036052631020319664,0.00013634262356761352,-0.07328410376521992,0.0023948909632824015
407.8774,-0.08122214645713978,-0.0990699907282698,-0.09662708857740661,-0.04159995371213892,-0.07459220443158958,-0.03658538377941911,-0.0005459552364702407,-0.07426280400170453,0.0015991142046248709
408.8417,-0.080561557096823,-0.099089161539583,-0.09376612560896481,-0.04134562518059642,-0.07376905363777046,-0.03669848793018425,-0.0011983621942000767,-0.07489798234843253,0.001236843850547729
409.8059,-0.07991241939866021,-0.10020216268091833,-0.09193101741830152,-0.04179600435296993,-0.07318082614306635,-0.036432031693620574,-0.0017118402025600662,-0.07513667926647813,0.0011319483040176375
410.7702,-0.07966156776266034,-0.10235235776191924,-0.09184722490325278,-0.043019411748843564,-0.07300764559518018,-0.03597022190929353,-0.001984810174239612,-0.07494372215875017,0.0009826675671308985
411.7344,-0.08001514619761357,-0.10477599313648318,-0.09365215119802722,-0.04473578198854811,-0.07312723126223428,-0.035648348232420565,-0.0018821764128926382,-0.07433690825648279,0.0008034455749183092
