cm-1,CB-5e-5_0,CB-5e-5_1,CB-5e-5_2,CB-5e-5_3,CB-5e-5_4,CB-5e-5_5,CB-5e-5_6,CB-5e-5_7,CB-5e-5_8,CB-5e-5_9
402.0919,-0.0760149937718769,-0.07816294591492125,-0.017671470568742978,-0.024088900174884006,0.006053037065499272,0.005086960564709768,0.013935749119684409,-0.0023419156091186856,0.018479347367870314,0.05950324374368523
403.0562,-0.0764527342065918,-0.07745297370915866,-0.018067834113037966,-0.02359959320795001,0.006854492262223146,0.004755794732320274,0.015571534515052046,-0.0012135488626095984,0.017560650263806387,0.059685038654778116
404.0204,-0.07637849112587547,-0.07673189749912682,-0.018172184963086955,-0.022820141521277273,0.0073325779877800685,0.003953875644641205,0.01706348514353177,0.0001257082088349081,0.016283450545113137,0.061730427019426985
404.9847,-0.07587299339540245,-0.07617307311003353,-0.017784821508301553,-0.022034791257141306,0.009016369338566442,0.0029732507519275673,0.017955143536938386,0.0012300836244986159,0.01479449354442896,0.06502934219537505
405.9489,-0.0752413214321662,-0.07594753122866928,-0.016840822441658104,-0.021476361823321063,0.012858338319723656,0.0021850120641378817,0.01793829267756819,0.0018978533989477337,0.013425069113842347,0.06797110765039967
406.9132,-0.07483658981147755,-0.07620968453916895,-0.015540525000220481,-0.02128157857276999,0.018516645927452596,0.0017175265176473241,0.017019242714962243,0.002190751582243845,0.012613256856648563,0.06914643007594619
407.8774,-0.07486925690506159,-0.07705656006576943,-0.014315942161741872,-0.02155795541096592,0.024337258252501253,0.0013104649234502077,0.015530085493556875,0.002288064859883083,0.012700105315123,0.0684319552053832
408.8417,-0.07533322006906198,-0.07846461966874259,-0.013691858467164576,-0.02236115718719617,0.028051157238770875,0.0005274758731746341,0.014032483331445958,0.002326611841769789,0.01368039092465834,0.06708735827144297
409.8059,-0.07607315182975916,-0.08023534904152137,-0.014086712616540098,-0.023589472385146196,0.027843743351424758,-0.0008260052762090146,0.013134273993953206,0.002297247485077413,0.015126256865770954,0.0667647815526833
410.7702,-0.07687417216000941,-0.08200417477200009,-0.015609524956836275,-0.02488278399294182,0.023245819205620036,-0.002419363180250141,0.01320975594565789,0.002015611484659479,0.01638831393944902,0.06807811259192004
411.7344,-0.07753198746293348,-0.08337746785507237,-0.017956274562027533,-0.025732871573859603,0.015401443329806624,-0.0035631077363737803,0.014173492807396819,0.0012045651967757625,0.01700748883533411,0.07009286405403109
412.6987,-0.07783159344940872,-0.084115365906046,-0.02048583550582515,-0.02577267798444574,0.006590556579578318,-0.003708369075296976,0.015400351483912632,-0.00024308631344801561,0.017006925627919396,0.07097575443720561
413.6629,-0.0775763041170465,-0.0842249065281246,-0.022467877865034798,-0.025040215415819717,-0.0006895699579556076,-0.0028524618900007182,0.01597226232240742,-0.0020462432207075886,0.01680928101115314,0.06948985348612965
414.6272,-0.07665956136715352,-0.0838887150062093,-0.023409052469247172,-0.023998722834036194,-0.004708327678531541,-0.0015273010901039631,0.015176469662413001,-0.0035906580532554188,0.016812881922293344,0.06583372190267499
415.5914,-0.07520673518135132,-0.0832907087526426,-0.02325108261384405,-0.023276883081025053,-0.005163319064704801,-0.00041037689850800937,0.012940668041529857,-0.0043432668911046815,0.01700945135534459,0.0614509062149447
416.5557,-0.0735815162100502,-0.08249894902570212,-0.022296641212944935,-0.02329758137815759,-0.0032045520309756347,9.013988665611157e-05,0.009922144859482535,-0.004222474029194674,0.01700566628006759,0.057979348141447194
417.5199,-0.07227255433040708,-0.08149807885619778,-0.021004237812332273,-0.024072483390630395,-0.000778563733565179,-2.7358476121700105e-05,0.007133309407566877,-0.0036653811959946885,0.016435039059705402,0.05654706998892394
418.4842,-0.07165107530116847,-0.0803102302451715,-0.019737709859194826,-0.02518905142630679,0.0004610549688434997,-0.0004920780531016387,0.005405305411975784,-0.0032172177239420483,0.015362582982986091,0.057575458371702894
419.4484,-0.07180743000724758,-0.07907348808454402,-0.01871105864919296,-0.026093998724816193,7.64240073056093e-05,-0.0009681051825225225,0.004952191942344503,-0.0031735275950246023,0.014285145768632252,0.06089021815356232
420.4127,-0.07254774905111257,-0.07799281695343079,-0.018007514893062963,-0.026388448275809603,-0.0009932671955153467,-0.0011783275409368676,0.005370561043337623,-0.0034560330008838558,0.013755995325471632,0.06565946031357879
421.3769,-0.07352754163879346,-0.07722137195738735,-0.0176209314561756,-0.026026841802685025,-0.0011742609736079721,-0.0009331342226518816,0.005974503742749305,-0.0038239643814534244,0.013964074012541015,0.0704443737548831
422.3412,-0.07440007818966586,-0.07678107780428323,-0.017511462353131918,-0.025275455724413337,0.0006393016231830315,-0.00021395977233241872,0.006309972897237893,-0.004104048856454828,0.014623244336280053,0.07375188625297699
423.3054,-0.07494298567925382,-0.07658882720640946,-0.017594846359181158,-0.024503319530396365,0.00434123929521951,0.0007514680040042778,0.006443151791688145,-0.004250705903871267,0.015201800994684931,0.07486565739624326
424.2697,-0.07509288014311487,-0.07655745683965004,-0.017801347277270597,-0.02396644631561609,0.008714416448383116,0.001526310245908333,0.0068250990521628455,-0.0042498452676490986,0.015277405395498222,0.07425985101537039
425.2339,-0.07495184970042075,-0.07666020861033193,-0.01808873632963327,-0.02371814123928148,0.01224638194788008,0.001678995632490777,0.00786459768219244,-0.004070058110288692,0.014754017615599914,0.07311293383920435
426.1982,-0.07473181625287123,-0.07693365594384222,-0.018434109445416545,-0.023666510468997187,0.014080732183049902,0.0010680743082987802,0.009513557537210858,-0.003680008879907594,0.013874905085942937,0.0723869114457335
427.1624,-0.07463709755939703,-0.07740113659650909,-0.018808558103982104,-0.023698731930141236,0.014392885747601657,-3.6488864256463684e-05,0.011275204956420261,-0.0031114728420912905,0.013030057131046689,0.07235169025155956
428.1267,-0.07476202226892724,-0.0780127654663899,-0.019154231243772104,-0.02372425907424993,0.014042507903240749,-0.0011128232631795645,0.01252165840801168,-0.0024771281991732147,0.01253440447014995,0.07288864414901515
429.0909,-0.07508118225848295,-0.07863450678819855,-0.01939944846616679,-0.023693404329017308,0.01385516005471099,-0.0017153410911906356,0.012898452379694518,-0.00189955673376972,0.012489679372419175,0.07387595538505111
430.0552,-0.07552188427036342,-0.07910728723630693,-0.01948255404014351,-0.023593614635503343,0.014091369601217608,-0.001732162129773817,0.01246409375950234,-0.0014554778387220076,0.01278802527402971,0.075262059226637
431.0194,-0.07605798841660248,-0.07931304989413622,-0.019369411191923345,-0.023473091019560573,0.014435992518259529,-0.001360384815693239,0.011542491184367114,-0.0011982183884191998,0.01323295578321381,0.07671636854318208
431.9837,-0.07672377029306755,-0.07921756029426143,-0.019097829550072654,-0.023452943295188565,0.014350840616504004,-0.0009095131604482548,0.010514537367902074,-0.001153822963733076,0.013671634757063374,0.0774648757956301
432.9479,-0.07758621400986981,-0.0788701818508079,-0.01881406998313129,-0.023701750364334244,0.01345396541377718,-0.0006075645012359773,0.009661883931358058,-0.0013551247739021363,0.01402412826333097,0.0767994959794709
433.9122,-0.07862165456345765,-0.0783535036185536,-0.018735063908690047,-0.024298519418133314,0.011658112751768646,-0.0005081334349142712,0.009164435141664757,-0.0017221441556802355,0.014291183003880329,0.0746555861114384
434.8764,-0.07973008867452878,-0.07775638181585591,-0.019089203906253672,-0.02518774624499801,0.009087764073426813,-0.000587181299611041,0.00905091721699608,-0.002104565418147515,0.01447037470898345,0.0717794191607076
435.8407,-0.0807468726726621,-0.07714455601746129,-0.020012962500855793,-0.02616021643459117,0.005960332701957505,-0.0007690988006943712,0.00921328921406328,-0.002299934225189652,0.01455099507119531,0.06926439339446133
