cm-1,CB-5e-3_0,CB-5e-3_20,CB-5e-3_86400,no-agent_86400
402.0919,0.4633338443609121,-0.1464218227653619,0.005374910905492767,-0.0041438831256466555
403.0562,0.46425550346793576,-0.14750835470695917,0.006086719864353634,-0.004432821125708442
404.0204,0.46548243538438344,-0.1487292595009573,0.007018974549523943,-0.004088931943619961
404.9847,0.46627310295501034,-0.14974744433702208,0.007893297993588906,-0.0032318800546632855
405.9489,0.4660473320904776,-0.15021833329045547,0.008443619741612902,-0.0021284505680555198
406.9132,0.4647513427370242,-0.15000644987810652,0.008611841247432854,-0.0010420332296801535
407.8774,0.4628246516968737,-0.1493295026911703,0.008548595673060537,-0.0001551791661979748
408.8417,0.4608494715707725,-0.14867403481398211,0.008376042351573805,0.00041091022405991115
409.8059,0.4592150206098118,-0.1485363323988861,0.007974728668663222,0.0005506147626388019
410.7702,0.4580929460554246,-0.14918068804209741,0.0070535624725262935,0.00018823303977184058
411.7344,0.4576127277389193,-0.15054449559247768,0.005453777124379601,-0.0006604276026527572
412.6987,0.45792626911708595,-0.15234902480612753,0.003432855640892898,-0.0018503310929963517
413.6629,0.4589788052373936,-0.15426818474361453,0.0015817293431242808,-0.0031384987300978953
414.6272,0.46021521966757933,-0.1560182319391022,0.00044741836830079567,-0.004279817786309871
415.5914,0.46067560258095125,-0.15738448116879225,0.0001995191607821386,-0.005132039850420505
416.5557,0.459592007792458,-0.15824947873756057,0.0005993532062872281,-0.00566926688576448
417.5199,0.45707265964367566,-0.15870228681713822,0.0012315904943617738,-0.005964543368469866
418.4842,0.45428468608155864,-0.15907234333540143,0.0017607363772902656,-0.006129697232846884
419.4484,0.4528083228254781,-0.159743803071097,0.0019560804892627373,-0.006281902078891243
420.4127,0.4536083354821078,-0.1607544259620301,0.0016722575237630897,-0.006476533067401786
421.3769,0.4563894147528355,-0.1615916502065849,0.0009074257558123158,-0.006666316565284115
422.3412,0.45984856246970574,-0.16147502216002937,-0.00014269427689358625,-0.006716038675787661
423.3054,0.4625863749084255,-0.16000822221143954,-0.0011032821268728463,-0.006501830467473228
424.2697,0.4639361214110174,-0.15760094630834898,-0.0016265611968707893,-0.006028175515856269
425.2339,0.4641412323060048,-0.1552078682414489,-0.001571992041479759,-0.005445088109991722
426.1982,0.4638771420079362,-0.1536580594943021,-0.0010328173925412147,-0.004966553869338639
427.1624,0.4635711133459679,-0.15313557331391145,-0.0002102311727148901,-0.004736008345670805
428.1267,0.4631033093348878,-0.15325055006332966,0.0007099439807233657,-0.004755493703407396
429.0909,0.46207663253344566,-0.15346005735037577,0.0016002423937085553,-0.004889096480823805
430.0552,0.46035003627594284,-0.15344413768425577,0.0023698777882452905,-0.004977273465961089
431.0194,0.4583205263851393,-0.15316038011186078,0.0029665327538612846,-0.0049424824745499885
431.9837,0.45670650634749826,-0.15270603690680373,0.0033750346932491784,-0.004833685988460619
432.9479,0.45599082851111916,-0.1522036193803152,0.003611865126024697,-0.004791319909653823
433.9122,0.4560316903577587,-0.1517472473202327,0.0037341379494761086,-0.004883973403993694
434.8764,0.45617003427799585,-0.1514427572558904,0.0037965731066738665,-0.005061560445863925
435.8407,0.45579183315035415,-0.1513770538853727,0.003830595176264394,-0.005157185324765261
436.8049,0.4548700824248403,-0.1515964565082792,0.003876493773679344,-0.004991035110273695
437.7692,0.45402762750261466,-0.1520711214554931,0.003960831507336436,-0.004501696477243732
438.7334,0.45404194289171207,-0.15268154543192583,0.004087287490049827,-0.0037893591426901518
439.6977,0.4551845628925317,-0.15324334742053988,0.004211570105468656,-0.003081300460578823
440.6619,0.45693898826643986,-0.15357142448042357,0.004254753459016704,-0.002614259577807359
441.6262,0.4583597161943323,-0.15360947484737342,0.004166910844245703,-0.002513349096879925
442.5904,0.4587450635642114,-0.15349192572553028,0.003970392405285356,-0.0027512824506524206
443.5547,0.45807194251654093,-0.15352531263021305,0.00373671679176728,-0.003202869307179124
444.5189,0.45690527266203773,-0.15400524264292242,0.0034741613415000183,-0.0037486819126590766
445.4832,0.4559240157271238,-0.15502316775235206,0.0030821000545369964,-0.004332631408693658
446.4474,0.4554721991425877,-0.15639583546614105,0.0024518105916202675,-0.004939588819430085
447.4117,0.45543921648610736,-0.15775143424419444,0.001624597800847105,-0.005501502018782323
448.3759,0.45545355477982724,-0.1587377855566021,0.0008158273023408056,-0.005929815973874586
449.3401,0.4552159880346783,-0.15909762311795791,0.00032841705139231576,-0.006123411747549803
450.3044,0.45467772940461654,-0.15881240510186356,0.00023130392483947852,-0.006127347683817902
451.2687,0.45406164086711004,-0.1580873819339008,0.0003161728786958046,-0.006087808130158754
452.2329,0.4537174301993412,-0.15727913836900412,0.0002964431367123795,-0.006155937985686352
453.1972,0.45392380084856915,-0.15675697580966047,3.8949463669524483e-05,-0.006381607753474495
454.1614,0.4547200342424771,-0.15672419465719392,-0.00034581433899186974,-0.006719953413117152
455.1257,0.45585995149783515,-0.1571195102130747,-0.0006620102417341466,-0.0070961886423640185
456.0899,0.4569136786585157,-0.15769259744845612,-0.0008193110963971051,-0.007452843118650561
457.0542,0.4574686805676658,-0.15822140668622672,-0.0008982119484965287,-0.007748013606662909
458.0184,0.4573294433671489,-0.15863332649121153,-0.0010478887010222208,-0.00794481395322427
458.9827,0.45660810808899843,-0.15899203967687842,-0.0013631100784441358,-0.00802443010032062
459.9469,0.45561095534603085,-0.15935139180666374,-0.0018491381978010353,-0.00801845553278978
460.9112,0.4546351497112852,-0.15967319144803305,-0.0024617571029910924,-0.008015265092529374
461.8754,0.4537844949341846,-0.15985357698983643,-0.003125095548788356,-0.008100516624138843
462.8397,0.4529890861066887,-0.15983062064043793,-0.003735575719896438,-0.008292451814289819
463.8039,0.4521505020656749,-0.15970866529357022,-0.00425688549214476,-0.00858804274791788
464.7682,0.4513912596371946,-0.1595011536696473,-0.004524088719541336,-0.008799583423124221
465.7324,0.45097423517432084,-0.15931550721133617,-0.00453913019017765,-0.008827647284683921
466.6967,0.45113887360125204,-0.15923214159982993,-0.004408552322347626,-0.00867544243863956
467.6609,0.45188822123278827,-0.15931143705432188,-0.004282290285624726,-0.00846018134970763
468.6252,0.4529278162413518,-0.1595800176294099,-0.00433089400335213,-0.008378265117772383
469.5894,0.45379750475979636,-0.160044281064254,-0.004648960099574162,-0.008600267469181454
470.5536,0.4541045412251571,-0.16067705148888128,-0.005222976293194932,-0.009166484053070984
471.5179,0.45371044428946167,-0.16139410860030243,-0.005921821241356112,-0.009983996388368511
472.4821,0.4527828299805735,-0.16209344538490608,-0.006574033900814129,-0.010910672658024603
473.4464,0.4516799265952656,-0.16267197194326988,-0.007072805443947464,-0.011843528418284737
474.4106,0.45074580737357156,-0.16310325507423387,-0.00743557502534083,-0.012743416295854005
475.3749,0.45013968234687696,-0.1634231254362845,-0.0077876509363243186,-0.013587314243404817
476.3391,0.44979691467032906,-0.16369673043557664,-0.008244217913779208,-0.014307841434573705
477.3034,0.4495507815963442,-0.16396674656043728,-0.008816374570293328,-0.014817509849728117
478.2676,0.44929605928890093,-0.16424460427220614,-0.00944546822830219,-0.015088110767894545
479.2319,0.44898235757837646,-0.16475739841713774,-0.010266387258556392,-0.015393806528925445
480.1961,0.4487856755844896,-0.16533623200059738,-0.010989400860917473,-0.01571033141442827
481.1604,0.4487696423487005,-0.16602390183155774,-0.011579598757096687,-0.01617074056257206
482.1246,0.448889662570893,-0.16682707118439685,-0.012038041256217881,-0.01679148434971614
483.0889,0.4490012767966075,-0.1676655152313596,-0.012428165747369251,-0.017495027657904106
484.0531,0.44894083149768277,-0.1684216184667983,-0.0128645761950979,-0.01816434881286693
485.0174,0.44858473333080745,-0.16902932485623376,-0.013504059816883174,-0.018752308441454733
485.9816,0.447882889886452,-0.16952346100310914,-0.01445531694657256,-0.019297993853303042
486.9459,0.446881316551331,-0.1700084610788883,-0.015729915077170465,-0.019894436590490224
487.9101,0.44573700160844226,-0.1705963477536886,-0.017192614177613856,-0.02059492018520586
488.8744,0.44467864771400545,-0.1713353903513672,-0.01862812887026891,-0.0213820085104454
489.8386,0.44391168642772383,-0.17224142970727627,-0.019826022427264126,-0.022184059753185298
490.8029,0.4434912033668441,-0.17331451560926925,-0.020689817374702324,-0.022931435400100397
491.7671,0.44327553344085846,-0.1745584941690201,-0.02129477967581715,-0.023599795536513025
492.7314,0.44302740766471127,-0.1759397793304326,-0.021806679870614624,-0.024186921340182275
493.6956,0.44258239375307423,-0.17738632806965787,-0.022395982631453103,-0.02470957763839013
494.6599,0.4417548268355099,-0.17942257659134422,-0.02373780116359112,-0.025699921386996973
495.6241,0.44097002284825726,-0.18144501728169163,-0.02523461664252701,-0.026772153102287585
496.5884,0.4404334133510195,-0.1834687524562271,-0.026768926570229366,-0.02803451809794754
497.5526,0.44015826012025644,-0.1855059137552255,-0.028223830533747173,-0.029555139163191586
498.5169,0.43992742733413887,-0.18753687231748964,-0.02958003516957561,-0.03132126160329094
