cm-1,CB-5e-3_0,no-agent_0,CB-5e-3_60,no-agent_60,CB-5e-3_300,no-agent_300,CB-5e-3_3600,no-agent_3600
402.0919,-0.10969888977004073,0.16748222983760225,-0.08770610464328475,-0.05648567794597117,-0.0837012245136548,-0.052279769491264984,-0.033104548628381615,-0.03094735859604541
403.0562,-0.1097041691122806,0.1667981867200511,-0.08773039545533103,-0.057020099845136854,-0.08418910283652188,-0.052329862653757254,-0.03315226290173877,-0.029994108784377485
404.0204,-0.10957674466567796,0.16649450965224638,-0.08809999884639487,-0.05742777127616586,-0.08491656016318036,-0.05172644810093741,-0.03328815302217289,-0.02940360213775405
404.9847,-0.10942827026107188,0.16632350031427243,-0.08867544087224928,-0.05754874728287577,-0.08579081472332972,-0.050660749497245645,-0.03341676795451493,-0.029190154191487176
405.9489,-0.10937768720844168,0.16601771878226135,-0.08923123932299146,-0.05736954487910201,-0.08672269980298551,-0.049539166889347175,-0.03357875955940932,-0.02927467945084354
406.9132,-0.10947696225898848,0.16558033616666107,-0.0895272577202981,-0.05705797698467575,-0.08762934610925317,-0.04874806373938519,-0.03388761495869181,-0.029573522237741363
407.8774,-0.10968428997614488,0.16520862436560982,-0.08944699236730332,-0.056849219459301686,-0.08837489975564715,-0.0484510500388537,-0.03434485160409209,-0.029979504295800957
408.8417,-0.10990426966536265,0.16496188314448387,-0.08903714017144486,-0.05688860780243126,-0.08872646836533511,-0.04856659128079319,-0.03480503918452157,-0.030316608386632516
409.8059,-0.11006922427474304,0.16464191810028753,-0.08845046071549856,-0.05715161615028543,-0.0884628357375589,-0.048889626342918165,-0.03507360208866617,-0.030390553751820898
410.7702,-0.11018732117379958,0.16409181692240166,-0.08781560625992041,-0.0574627542528648,-0.08758056914667993,-0.04927198861243143,-0.03509027399107158,-0.03016038448087733
411.7344,-0.11031121186712875,0.16358547706869728,-0.08719736411514,-0.05761674797839311,-0.08639845274403947,-0.04972298358409738,-0.0349601647528094,-0.029849338572360693
412.6987,-0.11048740281849412,0.16375371889209847,-0.08670450790318038,-0.05748602886779925,-0.08539299723603837,-0.05034781948793613,-0.03488508483245776,-0.029817250948487684
413.6629,-0.11069441122059567,0.16501074707365884,-0.08656445998344199,-0.05705495457749439,-0.08491754895646954,-0.05116834977655162,-0.035005473972427634,-0.030300205679365165
414.6272,-0.11083153574897504,0.1670886027805281,-0.08705252020197805,-0.0564081733049363,-0.08502969284217007,-0.051971075438438714,-0.03534219831032139,-0.031208645282820715
415.5914,-0.11074780424570839,0.1691605861674133,-0.08825914022290694,-0.05570607019634414,-0.08553684562145764,-0.05236260370535429,-0.03579683390645041,-0.032216821388438614
416.5557,-0.11032661349660675,0.17040068350200938,-0.08993654506250535,-0.055128235854579204,-0.08614465896012644,-0.0520596936894931,-0.03622213729211555,-0.03301897762656404
417.5199,-0.1095830067886977,0.17032922396947908,-0.09156569175320776,-0.05484377604107658,-0.0865500992722783,-0.051157135549588735,-0.03649955486961934,-0.03348901484701252
418.4842,-0.1086963150047191,0.16879768717057958,-0.09261306725043608,-0.054956863287758076,-0.08649067349687097,-0.05010476744991414,-0.03659357010344816,-0.033580187868451454
419.4484,-0.10797172173435268,0.16594527332266448,-0.09281284651416465,-0.05551277824533159,-0.08587348064739175,-0.04935013775657902,-0.03652753431303736,-0.033171193470908855
420.4127,-0.107692321061376,0.16242975145180993,-0.09227017301689537,-0.05647492968373562,-0.08488547278267757,-0.04896177710049549,-0.03632076646490175,-0.03205604920725849
421.3769,-0.10798423178861194,0.15950809208302272,-0.09134312888941155,-0.05768162575089392,-0.08393758467971761,-0.04857360697739435,-0.035921633412965955,-0.030190565366997404
422.3412,-0.10874504957797634,0.15846416252356338,-0.09043790004145048,-0.058837540524916784,-0.08342758123041555,-0.047737548250714974,-0.03534881821944036,-0.02792998573358874
423.3054,-0.1097047048519837,0.15961276755608128,-0.08981426652644771,-0.05959214409403195,-0.08346842330216114,-0.046336300650805545,-0.034819672145231,-0.02600066683072934
424.2697,-0.11054501080233059,0.16192444941607032,-0.08953556562990084,-0.05972583362085795,-0.08384266753667559,-0.044731470600648894,-0.03472981189559622,-0.025168752896807596
425.2339,-0.111041808260526,0.16384449913573973,-0.08952298097122473,-0.05931214163790918,-0.0842075357667388,-0.043523125396849424,-0.03532647023106203,-0.025817618645706582
426.1982,-0.11114105492751236,0.1645486297965647,-0.08967614051248651,-0.05869404203900449,-0.08436655616833623,-0.04317691131694309,-0.036417612476216284,-0.027733099837312404
427.1624,-0.11095040255210824,0.1644138287742508,-0.08994755093768433,-0.05826576486176769,-0.08436680862619729,-0.04374876101909462,-0.037418701261312026,-0.030228638888729602
428.1267,-0.11065351405796199,0.16433506992203487,-0.09031962810706781,-0.05824280219252857,-0.08441166547920567,-0.04491398350541969,-0.03776824830850499,-0.03250060009662535
429.0909,-0.11038900411037557,0.1646793660318499,-0.0907606174218977,-0.05858589393249896,-0.08469055427578039,-0.046194972811125876,-0.0373116081261193,-0.03400052063696738
430.0552,-0.11020665037845198,0.164994632066928,-0.09120299957461286,-0.05908917325308148,-0.08528457710378853,-0.047228403293301864,-0.03635012946724979,-0.034596691706485404
431.0194,-0.11007107985000611,0.16464851977567457,-0.09158030777998355,-0.059534326692435295,-0.0861457634632686,-0.047892033073302864,-0.03533009364008278,-0.034515863715388465
431.9837,-0.10996021011502391,0.1635841221396877,-0.09186931637856287,-0.05979006323952514,-0.08712780701101513,-0.048280611481366247,-0.03455775589416767,-0.03413782956813934
432.9479,-0.10991672650044611,0.16236278336480497,-0.09210122564066216,-0.059865810586476366,-0.08806643832573603,-0.048585113808580174,-0.034117683613733685,-0.03379021137494738
433.9122,-0.11002679794779123,0.16156536440025718,-0.09227550228830017,-0.05986492674033961,-0.0888029595908786,-0.048926144030415925,-0.033955386857807475,-0.03362441533950581
434.8764,-0.11038143989152113,0.1611994759111194,-0.09238485234172011,-0.059949599200240365,-0.08928194228050232,-0.049312133231343765,-0.03400836308359436,-0.03365919246715665
435.8407,-0.11098337715343706,0.16081732827386674,-0.0924371311259222,-0.06023494285987974,-0.08953835180836471,-0.04965630384501408,-0.03424479666327624,-0.033838878262179406
436.8049,-0.111689957506766,0.16012547845895833,-0.09249352527244015,-0.06070820260638225,-0.08964374945900012,-0.04983441135504229,-0.03464717514520527,-0.034098579005796055
437.7692,-0.11224980904445524,0.15941356416339753,-0.09264082928113142,-0.061236565826932085,-0.08964431047646916,-0.04979974455937335,-0.03521392866225345,-0.03436989707220716
438.7334,-0.11242438213287614,0.15929225477462572,-0.09290896285347074,-0.06166260046122583,-0.08955507363530109,-0.04961822786991043,-0.03592633384597998,-0.034567803183741495
439.6977,-0.11213283329603567,0.1600149220174327,-0.09318031714414422,-0.06191667329794062,-0.08938741005832135,-0.049443774510294275,-0.03672803722366244,-0.03460668974797673
440.6619,-0.11151730030867409,0.1611337474400168,-0.09325183603656481,-0.062050144462779885,-0.08918851183375322,-0.049414119412536844,-0.03749505371682258,-0.03443031735629272
441.6262,-0.11085780118620739,0.16185474264276942,-0.09298787396106574,-0.062169269591697544,-0.08904428476154236,-0.04957094166653357,-0.03805587218469226,-0.034060056439668876
442.5904,-0.11040532465762247,0.16173435575885517,-0.09243686448693156,-0.062313464756329394,-0.08902708957611649,-0.04985775504775841,-0.038250038540727914,-0.03360579020266844
443.5547,-0.11024681311645955,0.16100119502329324,-0.0918270926910337,-0.062399807858731775,-0.08915816078867853,-0.05020100021551432,-0.0380265257892031,-0.03320826684830677
