cm-1,CB-5e-3_0,AuNP_0,CB-5e-3_1,AuNP_1,CB-5e-3_2,AuNP_2,CB-5e-3_3,AuNP_3,CB-5e-3_4,AuNP_4
402.0919,-0.20766085285694694,-0.17098176462827272,-0.06817371820331823,-0.1185516081524081,-0.10040498028795035,-0.1186711920321984,-0.1015624767559956,-0.16222304795856543,-0.1886723907616956,-0.08728166434471225
403.0562,-0.2072311037444654,-0.17041338066542475,-0.06830607446885037,-0.1169894306629767,-0.10014770725263304,-0.11732663042077535,-0.10125728850249215,-0.16200844931642552,-0.18832373131162342,-0.08699829797193105
404.0204,-0.2061971565851022,-0.1701464165864333,-0.06844056801176339,-0.11567988827477704,-0.09947125459144554,-0.11669237711871296,-0.10105960625472254,-0.16195486024327238,-0.18778452130713885,-0.0867829351733413
404.9847,-0.2048357621732301,-0.16993525183083905,-0.0684982948492705,-0.11484212574018,-0.09839400437562107,-0.11655026247164597,-0.10081146433822663,-0.16203788546284897,-0.18698885446166855,-0.08661749350101333
405.9489,-0.20374447230782144,-0.16965959429861321,-0.06847112818672062,-0.11459292049831488,-0.09720039845696249,-0.11659657504962348,-0.10057294689144387,-0.1622656119924565,-0.18607411326449788,-0.08653538604456186
406.9132,-0.2034752550906276,-0.16937208911680726,-0.06834413885423415,-0.11487032855295302,-0.09629418682579391,-0.11662962667185285,-0.10057182111797204,-0.16260597512541458,-0.18526598650534254,-0.08657742671194836
407.8774,-0.20417180477524524,-0.1691753937285061,-0.06807152264499836,-0.11544715879240725,-0.09598877299636432,-0.11661040762988023,-0.10095422670999103,-0.16292419124003757,-0.1847299770401112,-0.08674523087645682
408.8417,-0.2055362820875283,-0.1691320004176999,-0.06766352006994497,-0.11605598294869529,-0.09636720389762146,-0.11660238656546115,-0.10161977326488576,-0.16304719667469952,-0.1845332397793867,-0.08703581811486076
409.8059,-0.20708462615888645,-0.1692816823800454,-0.06727839746514319,-0.11652108102605496,-0.09727609399745386,-0.11670194083645338,-0.10228617433545388,-0.1629264022134168,-0.1847114244430063,-0.08751415696212332
410.7702,-0.20849174798498493,-0.16970523585253575,-0.06719795023029064,-0.11682911448399699,-0.0984239225825886,-0.11699790931929424,-0.10274043072171761,-0.16270037213049993,-0.18528708524237036,-0.08830262647376771
411.7344,-0.2097408861434417,-0.1704951272288668,-0.06765983097282552,-0.11710269213000815,-0.09953052399084496,-0.11759022993296347,-0.10301466842467898,-0.16259675465801682,-0.18624030812889383,-0.08946463092644906
412.6987,-0.21098279029314804,-0.17161745536941592,-0.06863140792590126,-0.1175021265699258,-0.10039369075853787,-0.11853545832692194,-0.10329999803413933,-0.16272187785470138,-0.1874248611786698,-0.09085309572916306
413.6629,-0.21224841684959628,-0.17281192327140674,-0.0697724184625874,-0.11810773847121793,-0.10091294358983252,-0.11977478423273343,-0.10368163381153664,-0.1629608531308269,-0.18858743167623046,-0.09208014924039995
414.6272,-0.21331462639112023,-0.1736716691883803,-0.07063484754784052,-0.11885938077095667,-0.10107669591170163,-0.12108471895669469,-0.1039945866855001,-0.16307423915348473,-0.18945627089738953,-0.09271258153510342
415.5914,-0.21379718562556205,-0.1738639568368876,-0.07097343483774936,-0.1195718964470508,-0.10094042093422739,-0.1221231796744356,-0.10394150199894818,-0.16292626798906326,-0.18986871171666947,-0.09254521499881453
416.5557,-0.21343893325857746,-0.17333494671072172,-0.07089832490607399,-0.12004000668343336,-0.10061785698514629,-0.12259825387214472,-0.10337805702234572,-0.16261656393552762,-0.18982684144227888,-0.09173167114070217
417.5199,-0.21234138772181824,-0.17234921782833126,-0.0707406226084651,-0.12017360004521217,-0.10028980397535049,-0.12245049186807332,-0.10248889540232803,-0.1624411625330774,-0.1894905478829995,-0.0906760943699923
418.4842,-0.21097595133552294,-0.17129509872153853,-0.0707470233740304,-0.12005063749663014,-0.10018946796318882,-0.12190494223126641,-0.10170232998615343,-0.1626835157887671,-0.18907153674400698,-0.08975417976061363
419.4484,-0.20995960749958642,-0.17046418060610266,-0.0709250667548468,-0.11990085922914544,-0.1005418622769856,-0.12135223336391494,-0.10142902792603309,-0.16342297639472234,-0.18875865864582128,-0.08917064979367678
420.4127,-0.20970910951717595,-0.16990655345119124,-0.07111914596328137,-0.11996252523489728,-0.1014189820663709,-0.12108088284324546,-0.10183727484397406,-0.16444742513088942,-0.18863019328763986,-0.0889648770048392
421.3769,-0.2102023337668772,-0.1695226770323822,-0.07119869680536568,-0.12033842910301265,-0.10264405336765961,-0.12107938929100372,-0.10279177171024759,-0.1653409119109927,-0.18866292077598507,-0.0890966311071331
422.3412,-0.21103180920600392,-0.1692612411169745,-0.07118156859946366,-0.12095654057096418,-0.10386984231134543,-0.12109638192880044,-0.10399229403889,-0.16569328439513886,-0.18876940734286685,-0.08948568959637433
423.3054,-0.2116956418090902,-0.16924908285485857,-0.07117818436870185,-0.12164612260442133,-0.10480243577882498,-0.12091456576105376,-0.10513298140028803,-0.16531904079827328,-0.1888536217670251,-0.09000412149039505
424.2697,-0.21189108214792468,-0.16967011075161134,-0.07125533626239806,-0.12224803894747974,-0.10534093794358552,-0.12056760456121365,-0.10599991196056079,-0.16433638430596437,-0.18880784390123134,-0.09048524295292888
425.2339,-0.2116189951410248,-0.17054918860117074,-0.0713773934712342,-0.12267525349742735,-0.10554559599009242,-0.12031868125178626,-0.10647135622732636,-0.16309206489332645,-0.18853639228938465,-0.09080353520855422
426.1982,-0.21105759503249807,-0.17161996985184866,-0.07142974909185926,-0.12288303279852894,-0.1054487787081351,-0.1203798637619333,-0.1064775447649258,-0.16195946861274413,-0.187980799736149,-0.09094564534503582
427.1624,-0.21037881824978977,-0.17247071540082032,-0.07132266389126676,-0.1228485219602055,-0.10501591081135954,-0.12070459217614943,-0.10600656974913436,-0.16118059824520614,-0.18721176769560408,-0.0909886764526088
428.1267,-0.20965524711371006,-0.17280298206769734,-0.07102878557399586,-0.12258420732848964,-0.10425548815756112,-0.12103151610483245,-0.10515083230775651,-0.16082528773909907,-0.18642972288676748,-0.09099798918112106
429.0909,-0.20890918559345129,-0.1726113785063225,-0.07060331494201882,-0.12216634690796792,-0.1033369670908343,-0.12112746071362313,-0.10413290886373623,-0.16086408976263658,-0.18590231463572202,-0.09096208266096253
430.0552,-0.20818434375635347,-0.172135013507208,-0.0701372692395369,-0.12171680297306366,-0.10253188061205737,-0.12097180325595416,-0.10324464357383517,-0.16122098859026063,-0.18580257515159032,-0.09080660910916842
431.0194,-0.20755694887468196,-0.1716756878243436,-0.06972355059877065,-0.12133519647333749,-0.10201210972748216,-0.12071960988791147,-0.10270973320216539,-0.16177693840573887,-0.18611046627556943,-0.09047533855106378
431.9837,-0.20708804654778032,-0.17141158581800353,-0.06941764541078616,-0.12105155507182457,-0.10172577933926572,-0.12052195323553631,-0.10257652632415222,-0.1623539577162695,-0.18662698667568875,-0.08999527089728265
432.9479,-0.20680710065780522,-0.171368070480844,-0.06925143255818134,-0.12086780122274433,-0.10149035119595266,-0.12043488489272927,-0.10272954788743484,-0.16280384046481242,-0.18711931686608202,-0.08950425553596099
433.9122,-0.20670600958516494,-0.17146316598778927,-0.0692262685891519,-0.12081376030282268,-0.1011552640378331,-0.12041671925212677,-0.10297193191935783,-0.16306360187346622,-0.18743394379006414,-0.0891879063496305
434.8764,-0.20682122208601006,-0.17164367254654553,-0.0693808865245475,-0.12100141459412045,-0.10075995478789142,-0.12048191819394141,-0.10321315729807586,-0.16324017028210147,-0.18763206130684734,-0.08925232172252412
435.8407,-0.20719779097680177,-0.17189492111033233,-0.06975572578005346,-0.12154237591529699,-0.1004665314258432,-0.12071794712015813,-0.10352441722317073,-0.1634938692241201,-0.18793533778727328,-0.08981755532885757
436.8049,-0.20779716597198264,-0.17219001411265591,-0.07035266053409799,-0.12242501275890172,-0.10042537301072756,-0.12120763508164319,-0.1040867875328431,-0.1638891636737668,-0.18857489278331588,-0.09082385516204487
437.7692,-0.2084524848024075,-0.1724318629494662,-0.07106985328568757,-0.12345852561079186,-0.10065142820576059,-0.1218956742192814,-0.10502312474380614,-0.16430613162805685,-0.18960323996077183,-0.09199377893498739
438.7334,-0.2089391674635491,-0.1725141567826142,-0.0717225850089377,-0.12434259571326639,-0.10103268546747282,-0.12255604966210998,-0.10625170102571703,-0.16453048017810015,-0.1907990531921274,-0.0929473603223335
439.6977,-0.20915218526433324,-0.1724444834326176,-0.07213920237900626,-0.12483800082694425,-0.10143917015990234,-0.12287864485427365,-0.10748211103178874,-0.16443447993768076,-0.19177641363555722,-0.09339772877462234
440.6619,-0.20920350854096617,-0.17240696957338209,-0.07227417178474685,-0.1248947630520994,-0.10182634496531363,-0.12267052113422144,-0.1083563023663499,-0.1641098508817217,-0.19222413560493667,-0.09332097578696286
441.6262,-0.20935453463705309,-0.1726487185704487,-0.0722529703643942,-0.1246533801335236,-0.10224203970184702,-0.12198544491695297,-0.10868445961517434,-0.1638217494921984,-0.1921086604495528,-0.09293805809689852
442.5904,-0.20984014074785437,-0.17328602523633174,-0.07230991325983877,-0.12432198118295708,-0.10277780291639325,-0.12113206485589931,-0.10855968960520863,-0.16383876242901033,-0.19168979974718794,-0.09255562004736281
443.5547,-0.21072786286919998,-0.17418581058827845,-0.0726211803830598,-0.12401485137272193,-0.1034459487246306,-0.12049687804704325,-0.1082794810141857,-0.1642384788254155,-0.19132647272591993,-0.09238387372785253
444.5189,-0.21187669186653518,-0.17504218044280923,-0.07318726794510778,-0.12368039952930943,-0.10413551904209548,-0.12030647593260664,-0.10809175203346072,-0.16485159330168717,-0.19123943009316186,-0.09246011906677733
445.4832,-0.21300592377983105,-0.17557472933322238,-0.07382147207589618,-0.12319116987759984,-0.1046677847669819,-0.12051355563179349,-0.10800144963331847,-0.16538172357137917,-0.19141980737062947,-0.09270197692808703
446.4474,-0.21379504086729337,-0.17565910131214568,-0.07425354695566787,-0.12248517197051363,-0.10488703830765127,-0.1208469807632694,-0.10776254406272923,-0.16559296660468042,-0.19168708060514317,-0.09300215137542253
447.4117,-0.2139976867748375,-0.175323695239996,-0.0742666733443927,-0.12165725594436186,-0.10471993138378537,-0.12099755537977881,-0.1070856565016181,-0.16540828507956418,-0.191828160074553,-0.09323396829486262
448.3759,-0.2136001333052212,-0.1746940799321425,-0.07384021029031461,-0.12093590603105756,-0.10421976264172045,-0.12083442081703885,-0.10591298723822243,-0.16493871236404695,-0.1917414183150502,-0.09330646753622797
449.3401,-0.21278078710890733,-0.17387834485327847,-0.07311478186323192,-0.12052332671496742,-0.10347788694338211,-0.12040695836057347,-0.10447142179894792,-0.1643474279874978,-0.19141400427771788,-0.09312822681393942
450.3044,-0.2119340891774588,-0.17309619290596465,-0.07245506748663781,-0.12060216452834939,-0.10270798272651929,-0.11999327157841212,-0.10326933303693185,-0.16390333925688294,-0.19102477959099998,-0.0927748437771568
451.2687,-0.2114560164542362,-0.17265214640164744,-0.07228823347775394,-0.12130212668333423,-0.10218123414306744,-0.11993347599055047,-0.10282259860440197,-0.1639080632084369,-0.1908491974810387,-0.09246860205218531
452.2329,-0.21154250508278344,-0.17282563089843345,-0.07287190261839041,-0.12264280865002566,-0.10211482864073063,-0.12041763044357907,-0.10334839950304842,-0.16456635536503952,-0.1911072113411206,-0.09244382879393238
453.1972,-0.2121207855309824,-0.17367851005970467,-0.07411769222373642,-0.12446575049690822,-0.10254812818857176,-0.12136044643554075,-0.10462458846192246,-0.1658308121591636,-0.19178711720161448,-0.09276640980610942
