Sample,Amplitude,Amplitude Error,Agent Loading,Time Value
laser-10A_na-0_20-s,0.021304460740983352,0.0001426506907425971,0,20.0
laser-10A_na-0_30-s,0.019937333314565115,4.804026351511274e-05,0,30.0
laser-10A_na-0_40-s,0.020609094785190126,0.00010766848057452179,0,40.0
laser-10A_na-0_50-s,0.0205037752226003,0.00010423549167230744,0,50.0
laser-10A_na-0_120-s,0.019560820078555773,0.0002481767296524218,0,120.0
laser-10A_na-0_180-s,0.01945168842975914,0.00022541657981038513,0,180.0
laser-10A_na-0_300-s,0.01925714283506183,0.00021014311856569308,0,300.0
laser-10A_na-0_450-s,0.0186911624001305,0.00030834015337519643,0,450.0
laser-10A_na-0_600-s,0.018198170809864717,0.00023092605663850837,0,600.0
laser-10A_na-0_900-s,0.01657692606887045,4.742519354387269e-05,0,900.0
laser-10A_na-0_1200-s,0.015532090293007516,4.8457043120892796e-05,0,1200.0
laser-10A_na-0_1500-s,0.015169541773941392,4.725915189214401e-05,0,1500.0
laser-10A_CB-5e-3_0-s,0.025750127118578242,4.3806212349156034e-05,5e-3,0.0
laser-10A_CB-5e-3_10-s,0.023033077172580928,4.3169163143654876e-05,5e-3,10.0
laser-10A_CB-5e-3_20-s,0.02247516571827078,4.712773398403324e-05,5e-3,20.0
laser-10A_CB-5e-3_30-s,0.02144930441012309,4.2532771202118e-05,5e-3,30.0
laser-10A_CB-5e-3_40-s,0.02018907990377802,6.197300167539182e-05,5e-3,40.0
laser-10A_CB-5e-3_50-s,0.019110219386347254,7.682950870745772e-05,5e-3,50.0
laser-10A_CB-5e-3_60-s,0.019186413978931883,7.475859398781808e-05,5e-3,60.0
laser-10A_CB-5e-3_120-s,0.01860217749451012,6.894812217533966e-05,5e-3,120.0
laser-10A_CB-5e-3_180-s,0.019088382701822875,5.0759048704016704e-05,5e-3,180.0
laser-10A_CB-5e-3_300-s,0.014772374212016067,6.942266057020491e-05,5e-3,300.0
laser-10A_CB-5e-3_450-s,0.012373656635962862,8.22145465056264e-05,5e-3,450.0
laser-10A_CB-5e-3_600-s,0.011938801748772274,8.583465973157654e-05,5e-3,600.0
laser-10A_CB-5e-3_900-s,0.008030309759337821,5.993243894403903e-05,5e-3,900.0
laser-10A_CB-5e-3_1200-s,0.006619404933967652,6.66401276945593e-05,5e-3,1200.0
laser-10A_CB-5e-3_1800-s,0.006452546435052856,8.595944049120366e-05,5e-3,1800.0
