Sample,Amplitude,Amplitude Error,Agent Loading,Time Value
ambient_CB-0_00-h,0.02075944373972132,5.6422011693831073e-05,0,0.0
ambient_CB-0_01-h,0.017786686092265497,6.570145438172639e-05,0,1.0
ambient_CB-0_19-h,0.014697758548111704,6.933568098832351e-05,0,19.0
ambient_CB-0_23-h,0.014310736199670005,7.344904356077533e-05,0,23.0
ambient_CB-0_25-h,0.014567524380636078,7.259460348592702e-05,0,25.0
ambient_CB-0_92-h,0.012401643500824204,8.121505932042578e-05,0,92.0
ambient_CB-1e+1_00-h,0.02992794536694645,5.2611861078420326e-05,1e+1,0.0
ambient_CB-1e+1_01-h,0.02628887511832144,3.55507304152175e-05,1e+1,1.0
ambient_CB-1e+1_19-h,0.01968020723470061,3.5964952197938834e-05,1e+1,19.0
ambient_CB-1e+1_23-h,0.01895858101848056,4.837643866587303e-05,1e+1,23.0
ambient_CB-1e+1_25-h,0.01901828878999484,5.078028366202659e-05,1e+1,25.0
ambient_CB-1e+1_92-h,0.01737054913681017,5.429350913238983e-05,1e+1,92.0
ambient_CB-1e-2_00-h,0.020839252138510816,3.278673640473884e-05,1e-2,0.0
ambient_CB-1e-2_01-h,0.018200615271739117,3.073369321472853e-05,1e-2,1.0
ambient_CB-1e-2_19-h,0.01402191972084256,3.431581869685723e-05,1e-2,19.0
ambient_CB-1e-2_23-h,0.013611316475719532,3.435147569075094e-05,1e-2,23.0
ambient_CB-1e-2_25-h,0.013529525576770996,3.6707501337794784e-05,1e-2,25.0
ambient_CB-1e-2_92-h,0.011782676725752072,4.001622011962166e-05,1e-2,92.0
ambient_CB-1e-4_00-h,0.025071869879308154,3.3278730072355905e-05,1e-4,0.0
ambient_CB-1e-4_01-h,0.019685297918411167,4.593844567646511e-05,1e-4,1.0
ambient_CB-1e-4_19-h,0.017627882184691423,4.747670422330412e-05,1e-4,19.0
ambient_CB-1e-4_23-h,0.017341418912728737,4.8183906446624076e-05,1e-4,23.0
ambient_CB-1e-4_25-h,0.01705683663409471,4.851776079868301e-05,1e-4,25.0
ambient_CB-1e-4_92-h,0.01466921665507829,5.101280804616164e-05,1e-4,92.0
