Sample,Amplitude,Amplitude Error,Agent Loading,Time Value
laser-10A_na-0_20-s,0.021304460740983352,0.0001426506907425971,0,20.0
laser-10A_na-0_30-s,0.019937333314565115,4.804026351511274e-05,0,30.0
laser-10A_na-0_40-s,0.020609094785190126,0.00010766848057452179,0,40.0
laser-10A_na-0_50-s,0.0205037752226003,0.00010423549167230744,0,50.0
laser-10A_na-0_120-s,0.019560820078555773,0.0002481767296524218,0,120.0
laser-10A_na-0_180-s,0.01945168842975914,0.00022541657981038513,0,180.0
laser-10A_na-0_300-s,0.01925714283506183,0.00021014311856569308,0,300.0
laser-10A_na-0_450-s,0.0186911624001305,0.00030834015337519643,0,450.0
laser-10A_na-0_600-s,0.018198170809864717,0.00023092605663850837,0,600.0
laser-10A_na-0_900-s,0.01657692606887045,4.742519354387269e-05,0,900.0
laser-10A_na-0_1200-s,0.015532090293007516,4.8457043120892796e-05,0,1200.0
laser-10A_na-0_1500-s,0.015169541773941392,4.725915189214401e-05,0,1500.0
ambient_CB-1e-6_0000-s,0.022181948609621825,2.1634153869553776e-05,1e-6,0.0
ambient_CB-1e-6_0030-s,0.021924845890568152,2.140540047669752e-05,1e-6,30.0
ambient_CB-1e-6_0060-s,0.021970607705091766,2.2308088572943797e-05,1e-6,60.0
ambient_CB-1e-6_0120-s,0.021702232560752977,2.1072157421596237e-05,1e-6,120.0
ambient_CB-1e-6_0180-s,0.021594158521673054,2.0491339676293234e-05,1e-6,180.0
ambient_CB-1e-6_0240-s,0.021594599017738525,2.1339071190228995e-05,1e-6,240.0
ambient_CB-1e-6_0300-s,0.02152605462196809,2.151166841003499e-05,1e-6,300.0
ambient_CB-1e-6_0900-s,0.021298846682642387,2.2754258862057846e-05,1e-6,900.0
ambient_CB-1e-6_1200-s,0.0212210061899919,1.9677538974911744e-05,1e-6,1200.0
