Sample,Amplitude,Amplitude Error,Agent Loading,Time Value
ambient_CB-1e-6_0000-s,0.022181948609621825,2.1634153869553776e-05,1e-6,0.0
ambient_CB-1e-6_0001-s,0.02226314024623922,2.116156459341309e-05,1e-6,1.0
ambient_CB-1e-6_0005-s,0.021735362937010352,2.0148483991677035e-05,1e-6,5.0
ambient_CB-1e-6_0030-s,0.021924845890568152,2.140540047669752e-05,1e-6,30.0
ambient_CB-1e-6_0060-s,0.021970607705091766,2.2308088572943797e-05,1e-6,60.0
ambient_CB-1e-6_0120-s,0.021702232560752977,2.1072157421596237e-05,1e-6,120.0
ambient_CB-1e-6_0180-s,0.021594158521673054,2.0491339676293234e-05,1e-6,180.0
ambient_CB-1e-6_0240-s,0.021594599017738525,2.1339071190228995e-05,1e-6,240.0
ambient_CB-1e-6_0300-s,0.02152605462196809,2.151166841003499e-05,1e-6,300.0
ambient_CB-1e-6_0360-s,0.022058009328235255,2.2724903882133306e-05,1e-6,360.0
ambient_CB-1e-6_0480-s,0.021836154163009863,2.1894665664563175e-05,1e-6,480.0
ambient_CB-1e-6_0720-s,0.02169245123380121,2.1988646501581053e-05,1e-6,720.0
ambient_CB-1e-6_0900-s,0.021298846682642387,2.2754258862057846e-05,1e-6,900.0
ambient_CB-1e-6_1200-s,0.0212210061899919,1.9677538974911744e-05,1e-6,1200.0
ambient_CB-1e-6_1800-s,0.020481725509087768,2.3378003552120927e-05,1e-6,1800.0
