cm-1,laser-disk-center_CB-5e-3_0-s,laser-disk-center_CB-5e-3_1-s,laser-disk-center_CB-5e-3_3-s,laser-disk-center_CB-5e-3_4-s,laser-disk-center_CB-5e-3_5-s
402.0919,-0.2854446934321169,-0.2667030692589045,-0.28484990869145577,-0.32707019513893504,-0.26316886485645263
403.0562,-0.28462966243958887,-0.2651009568122035,-0.28338707431087723,-0.3264548454903884,-0.2625716535800522
404.0204,-0.2840469774249634,-0.2636998137758116,-0.28249077699721303,-0.3259650902975187,-0.26202978538252597
404.9847,-0.283507543970867,-0.26267357817305165,-0.2819870457870112,-0.3255818772218839,-0.2615285647460896
405.9489,-0.2829188699558662,-0.2621150525177164,-0.2816338916064085,-0.32531158393215825,-0.26109508122936814
406.9132,-0.2823213899245277,-0.26197497490887695,-0.28127048001908456,-0.3251291978275711,-0.26076225536767383
407.8774,-0.28179418127738315,-0.2620730176150142,-0.2808657994579825,-0.3249300619322442,-0.26053146909499486
408.8417,-0.2813852565329638,-0.26219675295947603,-0.2804703560194563,-0.3245795839587177,-0.26040023669288803
409.8059,-0.2811253006993321,-0.26220672399719974,-0.2801610467917379,-0.3240400942823932,-0.26042115907054453
410.7702,-0.28107641215252493,-0.26209226452511225,-0.2800085990892893,-0.3234191880112566,-0.26069309998196705
411.7344,-0.28130982553338574,-0.2619508070824131,-0.28009274776115156,-0.3228938782208998,-0.26126739554599987
412.6987,-0.281799374590313,-0.261909574243879,-0.2804584892697925,-0.3225467072401783,-0.26202506454860125
413.6629,-0.2823448265726562,-0.2620324192850361,-0.28105902978718467,-0.3222884793560752,-0.2626526000773952
414.6272,-0.2826330054685549,-0.26227150770866686,-0.281716159597419,-0.32193301620369613,-0.2627996893116447
415.5914,-0.28240793310883466,-0.26247988864337196,-0.28215730539022116,-0.3213748951424941,-0.2623005277855255
416.5557,-0.2816281000648517,-0.2624944850635181,-0.28214972112737835,-0.3206914488978823,-0.261279238233828
417.5199,-0.2804971889225844,-0.2622438174319809,-0.28164610305185667,-0.320112838448714,-0.26006263443658073
