cm-1,laser-disk-center_CB-5e-3_0-s,laser-disk-center_CB-5e-3_1-s,laser-disk-center_CB-5e-3_2-s,laser-disk-center_CB-5e-3_3-s,laser-disk-center_CB-5e-3_4-s
402.0919,-0.3333237268383512,-0.34901896740371624,-0.35195367258605126,-0.3365711976023008,-0.33768507353704524
403.0562,-0.3325510959231816,-0.34862176138361584,-0.3512453211933274,-0.335843192891363,-0.33695590775246187
404.0204,-0.33132080268505776,-0.3482268352273943,-0.35019551459802545,-0.33520302895639975,-0.33608148704396895
404.9847,-0.32984260043134234,-0.347768373240587,-0.3488191447321486,-0.33452224465754754,-0.3350113091899002
405.9489,-0.32856967461340764,-0.3472397124024219,-0.34734835151988463,-0.33384976304058533,-0.33385054216573934
406.9132,-0.3279204619977799,-0.34662831472577427,-0.34611239563498863,-0.33337056625670985,-0.33277170066303824
407.8774,-0.32800401077202074,-0.34589613966924915,-0.34536704264532697,-0.333203505151287,-0.33190145939883053
408.8417,-0.32859439217642616,-0.34505161046491484,-0.3451799359935084,-0.33326690409768855,-0.3312910839133279
409.8059,-0.3293246594488786,-0.3442266340939262,-0.3454260522329838,-0.33333147848536054,-0.33096793491955434
410.7702,-0.3299482219210285,-0.34365578190374485,-0.34586747688943076,-0.33322404795788174,-0.33094916678524944
411.7344,-0.3304524620529923,-0.3435370727056983,-0.3462757639025908,-0.3329708164893804,-0.3312196439557296
412.6987,-0.33095159360333304,-0.3438432265398034,-0.34648585734924586,-0.3327269799293684,-0.3316674305521538
413.6629,-0.33146918086582716,-0.34429098056964474,-0.34641589231997727,-0.3325618811221645,-0.33209888368283974
414.6272,-0.33183593670491274,-0.3445071283944999,-0.346056314380425,-0.33234135267327963,-0.33230607032476955
415.5914,-0.3317606080053499,-0.3442875238514815,-0.3454524785874201,-0.33182386514202944,-0.33216467465255956
416.5557,-0.331048110751379,-0.3437237899193029,-0.3446970659989864,-0.33089204459844845,-0.33167619814543536
417.5199,-0.3297755124738127,-0.343091770861198,-0.34393766826608896,-0.3296960289651165,-0.33096302014373047
418.4842,-0.32830016205742085,-0.34259680789375524,-0.34336442388134597,-0.32858376307573584,-0.33018696191986924
419.4484,-0.3270899777208931,-0.342245283462985,-0.3431609919445128,-0.327889049368171,-0.3294925538725218
420.4127,-0.3264608709542725,-0.34190750610035225,-0.34338600137568853,-0.3277485370400863,-0.32893957103828075
421.3769,-0.32639615745978445,-0.341474846783883,-0.34389534823118334,-0.32805238107934465,-0.32851034860319656
422.3412,-0.3265867815105036,-0.34096206657022127,-0.3444056704529833,-0.3285565237080954,-0.3281379213839403
423.3054,-0.32665227314344814,-0.3404612277619579,-0.3446773062270463,-0.3290125230569441,-0.3277489370812452
424.2697,-0.32636298187911555,-0.3400278506522353,-0.3446278469268307,-0.3292464502949138,-0.3272609153320684
425.2339,-0.32571965411099746,-0.33963236533127045,-0.34430654112167003,-0.3291594865392505,-0.3266007711649859
426.1982,-0.3248573298192143,-0.33917922513659476,-0.34373969259601983,-0.32869484009576366,-0.3257236938668305
427.1624,-0.3239064700454147,-0.338593799073221,-0.34289919715508405,-0.3278429320162367,-0.3246838506875137
428.1267,-0.32292201963024475,-0.33785320534213387,-0.34179188413178146,-0.32667874914421424,-0.3236344374364445
429.0909,-0.3219209807601356,-0.3370035172344913,-0.34055609042799284,-0.32538325217095837,-0.32278025017296236
430.0552,-0.32093640608884466,-0.33612042998818387,-0.33941322130127743,-0.3241934937521194,-0.32225353311053867
431.0194,-0.32002618492628154,-0.3352814139646362,-0.3385035914188029,-0.323291344780646,-0.3220390539875303
431.9837,-0.319236514752227,-0.33453257488091265,-0.33778478213822816,-0.32271599574236853,-0.3219845197943991
432.9479,-0.31858982640288447,-0.33390056342253904,-0.33710798613307374,-0.32237370934628395,-0.3219119594161418
433.9122,-0.3180798867134193,-0.3333864067511402,-0.3363502805086673,-0.3221044170911496,-0.32170387020564706
434.8764,-0.31773442262086266,-0.33302246341994396,-0.33554393669944566,-0.321834658851009,-0.32140714713577434
435.8407,-0.31758750543889513,-0.33284230855688174,-0.33482109571998747,-0.3216221888050789,-0.3211912326933953
436.8049,-0.31760999397290846,-0.33284760489260834,-0.3343045312169828,-0.32161424392839416,-0.32123298365207476
437.7692,-0.3176752752812594,-0.3329534410839473,-0.3340063373881259,-0.32191055973005295,-0.32157247036205655
438.7334,-0.31761315112360605,-0.33300608690633854,-0.33383523937942755,-0.32244482108047773,-0.32204051148628215
439.6977,-0.3173438939884125,-0.33286248934797896,-0.33368510862982703,-0.32298095074488936,-0.3223418571244443
440.6619,-0.3169524944644058,-0.33248483008675395,-0.33351971302240585,-0.32322809452856444,-0.32223859968673213
441.6262,-0.31663706743468745,-0.3319775032814693,-0.3333779703192821,-0.3230319138595946,-0.32170498034762296
442.5904,-0.3165757973334714,-0.3315357453965201,-0.33333466191799993,-0.3224681623448656,-0.3209397994845807
443.5547,-0.31681980401909143,-0.33130617548680796,-0.33339973339667156,-0.3217784805674149,-0.320217472017291
444.5189,-0.3172622562707922,-0.3312893079953416,-0.33348276872894145,-0.3211644202976273,-0.3197069237470668
445.4832,-0.3176902214770158,-0.33132955652968854,-0.3334378678505683,-0.32062990550115233,-0.3194012827134429
446.4474,-0.31786075599910896,-0.33120196435930715,-0.33313810960037865,-0.3199751100597741,-0.3191625730486271
447.4117,-0.3175869714406677,-0.33072586552473976,-0.3325235597794847,-0.31896479159168234,-0.31882772812712296
448.3759,-0.31685854689490145,-0.32988417130694714,-0.3316377964212836,-0.3175520778608977,-0.3183191132434846
449.3401,-0.315810714534638,-0.3287939411853755,-0.3305552935758073,-0.31592128610832365,-0.3176268535987343
450.3044,-0.3147425145561447,-0.3277588256605254,-0.3294503124156923,-0.31448546785334414,-0.31688769959446084
451.2687,-0.31395424022697727,-0.3271346144164062,-0.32854412405887623,-0.3136638681934288,-0.3163123680890973
452.2329,-0.3135945038801167,-0.3271359029599376,-0.3280139509756927,-0.31363301380397696,-0.31606912857531955
453.1972,-0.31360803969342443,-0.3276889864313606,-0.32789180426370634,-0.3142122945914258,-0.3161489381087979
454.1614,-0.31378463169840093,-0.3284342270951588,-0.328032625419199,-0.314940573107187,-0.31635208371789353
455.1257,-0.31387768258686766,-0.3289278809967836,-0.3281982463031108,-0.31535124651668733,-0.31639261347417424
456.0899,-0.3137153878666242,-0.3289001287811778,-0.32819478860825074,-0.3152246391251552,-0.31609339405215825
457.0542,-0.31324583277322554,-0.3283849905518171,-0.327951205822333,-0.3146653653904748,-0.31547842706326584
458.0184,-0.31253380027724553,-0.32762068412965256,-0.3275082058036423,-0.31398003190092294,-0.31474008557242233
458.9827,-0.3117370087762509,-0.32684372588513616,-0.3269778343818425,-0.31346839443149005,-0.3140969979290727
459.9469,-0.31106317521449245,-0.3261634890690442,-0.32650330097228925,-0.31328876816966966,-0.3136879782592387
460.9112,-0.3107083546213359,-0.32557734370318037,-0.3262270273971784,-0.31345394269254473,-0.3135219705171135
461.8754,-0.31075074742758685,-0.3250749810794672,-0.32622521995407716,-0.31384287220325496,-0.31351090314739744
462.8397,-0.31108076232144666,-0.3246634780608104,-0.3264216653379825,-0.3142183673612227,-0.31351682199679626
463.8039,-0.31151105867166334,-0.32441001849734197,-0.32667248063402965,-0.31436223257382706,-0.3134757953217708
464.7682,-0.3117464482914938,-0.3242209977361305,-0.326711310133978,-0.31404289028050647,-0.3132636031415957
465.7324,-0.31172822314466986,-0.3240674633794902,-0.32649610787832284,-0.3133303273266723,-0.312915924782742
466.6967,-0.3116007158521569,-0.3239690771213939,-0.32620076512515656,-0.31252963357966534,-0.31254367031316616
467.6609,-0.3115660968222653,-0.323969182417806,-0.3260751203005909,-0.31197152057754196,-0.3122702678126808
468.6252,-0.31171462049066734,-0.32403971945809995,-0.32622994966545255,-0.31177185549948166,-0.312137013213328
469.5894,-0.31194610076982077,-0.32404611870000677,-0.32650857404576894,-0.31175069744129946,-0.31204830928107125
470.5536,-0.3120486229799046,-0.323811585989262,-0.326599959009294,-0.3116150738454009,-0.31184256044827
471.5179,-0.3118556762346291,-0.3232634427987013,-0.3262691662197579,-0.31119787630173706,-0.31141357127565505
472.4821,-0.31135595499373914,-0.3225111652557429,-0.3255464653203611,-0.31058876346104075,-0.31081829786051846
473.4464,-0.31071090617257985,-0.3217895438081488,-0.32473772003161067,-0.3100414724879794,-0.3102674467942904
474.4106,-0.3101610702562617,-0.3212968740562205,-0.32421043767839586,-0.30977760993474207,-0.3099678956776438
475.3749,-0.3098796312436076,-0.32108046093330744,-0.3241477847999063,-0.30984279906498075,-0.3099716579848065
476.3391,-0.3098749156972473,-0.32102830485082723,-0.3244292338368968,-0.31011928109081727,-0.3101401784053226
